id;text;label;predict_proba;predict_label;lime_weights
411;Toe ngon hotel lon dom, jak ngon tapak, disinoe  le that pilehan makananjih, teumpat nyang luwah, bereh;positive;[0.029818479790916935, 0.09770474024558884, 0.8724767799634944];positive;{'negative': [('ngon', -0.132329202551454), ('disinoe', -0.07037187363993518), ('hotel', 0.060302887618139046), ('pilehan', -0.049822317877190034), ('teumpat', -0.045212311788784515), ('dom', 0.03658685492638133)], 'neutral': [('that', -0.19541635265612586), ('ngon', -0.1296404307979662), ('makananjih', -0.0814428264735884), ('teumpat', -0.07804025203747332), ('Toe', 0.07359860883542813), ('pilehan', 0.06018454226058671)], 'positive': [('ngon', 0.2512739138779595), ('that', 0.16563510143470542), ('teumpat', 0.10880169866514931), ('makananjih', 0.08900962158183406), ('disinoe', 0.0837011902929133), ('dom', -0.07663986810901259)]}
729;Nyo beutoi, jih teungoh jaga warong.;neutral;[0.5179644948200749, 0.3685217484271017, 0.11351375675282331];negative;{'negative': [('teungoh', 0.2004808849511815), ('beutoi', 0.1224620096985483), ('warong', -0.11761232732043296), ('Nyo', -0.0070973837100966365), ('jih', -0.004541348953755253), ('jaga', -0.0002572561194644384)], 'neutral': [('teungoh', -0.1880583365667441), ('warong', 0.15435278430829566), ('beutoi', -0.12797971749962242), ('jih', -0.07122273238075659), ('Nyo', 0.05342587919278589), ('jaga', 0.0015722207471075193)], 'positive': [('jih', 0.07576408133451183), ('Nyo', -0.046328495482689386), ('warong', -0.03674045698786273), ('teungoh', -0.012422548384437578), ('beutoi', 0.0055177078010738645), ('jaga', -0.001314964627643025)]}
373;On rumpunjih lumayan tapi bieng saos padang cukop peuget kecewa, kamoe dijok bieng niet asoe, keuneulheueh hana kamoe pajoh bieng nyan dan kamoe jok pulang teuma;negative;[0.6683118502425763, 0.19916152001093795, 0.13252662974648577];negative;{'negative': [('hana', 0.20164018569880532), ('On', -0.127597092522456), ('kecewa', 0.1062622629106496), ('nyan', 0.09699497537141503), ('dijok', -0.08251218804009804), ('padang', 0.07554315738755175)], 'neutral': [('hana', -0.13981104765444632), ('bieng', 0.09016257223791944), ('kamoe', -0.08330048200347999), ('dijok', 0.07898557826772036), ('kecewa', -0.07181910849708438), ('cukop', -0.06710542596809185)], 'positive': [('hana', -0.07130709588825217), ('dan', 0.066753177565441), ('On', 0.060083881769929334), ('nyan', -0.051119369570514835), ('kecewa', -0.046833418413516216), ('pajoh', 0.04189000621611622)]}
262;Meuteumpat di braga city walk nyang saboh geudong deungon aston ngon fave hotel, teumpat nyoe cukuop nyaman keu duek-duek jep kupi. Kupi meujampu ngon te nyang phon that lon rasa rupajih mangat, peu lom ditamah ngoen boh manoh seutengoh matang jeuet keu pengon sarat duek khem ngoen rakan-rakan. Area nyang hana jeuet piep rukok meutamah hayeue sara ta nikmati pemandangan ureueng teubit tamong mal nyoe.;positive;[0.023725766385991814, 0.007756919743169908, 0.9685173138708383];positive;{'negative': [('ngon', -0.07844083506067304), ('jep', -0.05430526489476882), ('mangat', -0.05353712979583647), ('hayeue', -0.05345582373809744), ('hana', 0.05080295476997235), ('Kupi', -0.041519213419454186)], 'neutral': [('mangat', -0.04642827085191402), ('nyoe', -0.03392449268112868), ('that', -0.030343697729243464), ('ngon', -0.02960415736164444), ('ta', -0.028830223767003844), ('jep', -0.026838289903594752)], 'positive': [('ngon', 0.10319704627040303), ('mangat', 0.09556935532896293), ('jep', 0.07453531826330653), ('hayeue', 0.07267149526621522), ('kupi', 0.05352813742036799), ('Kupi', 0.05171756651521756)]}
177;Gianjar teurimong bantuan sosial dua ribe lapan blah (2018) sedupna peut ploh peut, sikureng (44,9) miliar;neutral;[0.027149599023345364, 0.9594395587919733, 0.013410842184681242];neutral;{'negative': [('dua', -0.028759086081913274), ('blah', -0.02284347205895935), ('teurimong', -0.02216847237715824), ('peut', -0.009811521007828693), ('ribe', -0.008142972482534955), ('sosial', 0.0062246934093770565)], 'neutral': [('dua', 0.04015405338245516), ('blah', 0.03216445883499676), ('teurimong', 0.022596713685104755), ('peut', 0.011929353270733979), ('sosial', -0.008427481676568786), ('ploh', 0.008345532180303874)], 'positive': [('dua', -0.010767809533732959), ('blah', -0.008700843687335036), ('ploh', -0.004410093450981617), ('2018', -0.0037652286256058525), ('sosial', 0.0031011435898922013), ('lapan', -0.002084814592550258)]}
560;Nyoe keuh salah saboh geuneurasi nyang hana guna. Daripada beumanfaat keu bangsa, jipileh jeut keu bahaya keu bangsa! Mantap tuntut laju ngon UU ITE;negative;[0.21382552447268102, 0.4189301198158035, 0.36724435571151515];neutral;{'negative': [('hana', 0.2393324717670373), ('ngon', -0.1223557888705681), ('salah', -0.11560461064347376), ('saboh', -0.0957419552701128), ('Mantap', -0.08987002411263458), ('Nyoe', 0.07227473829443293)], 'neutral': [('hana', -0.2058350873599704), ('Nyoe', -0.15152060892832558), ('saboh', 0.1298833182587789), ('guna', 0.10904719193164973), ('salah', 0.10386544152732245), ('keu', -0.06619818059093165)], 'positive': [('ngon', 0.13163882992670106), ('Mantap', 0.12249124840947626), ('guna', -0.08637217687378812), ('Nyoe', 0.07280780379057297), ('keu', 0.06737854640008221), ('Daripada', -0.05014268080468034)]}
834;Hai rakan, jinoe  teungoh jipeupah jadi aplikasi hanjeuet diakses.;neutral;[0.9659924349238456, 0.028688210411550015, 0.005319354664604298];negative;{'negative': [('jinoe', 0.17202628486724994), ('hanjeuet', 0.13346786104979458), ('jadi', 0.09573276366951049), ('teungoh', 0.06670574599640629), ('rakan', -0.05195253132417776), ('Hai', -0.012154350842340615)], 'neutral': [('jinoe', -0.16261525246280734), ('hanjeuet', -0.116219327304028), ('jadi', -0.08562167777784986), ('teungoh', -0.06528958433161218), ('rakan', 0.04401958496232605), ('Hai', 0.022267844637760496)], 'positive': [('hanjeuet', -0.01724853374576663), ('Hai', -0.010113493795419847), ('jadi', -0.010111085891660597), ('jinoe', -0.009411032404442837), ('rakan', 0.007932946361851654), ('teungoh', -0.0014161616647941067)]}
619;Cit leumoh tanyoe nyoe loen pih hana beuhe sebeutoi jih;negative;[0.6774293217103311, 0.1275083264339057, 0.1950623518557634];negative;{'negative': [('hana', 0.42891894980408296), ('tanyoe', -0.16415609028277722), ('nyoe', 0.1120146781780173), ('Cit', 0.08408146036280123), ('leumoh', -0.07955263260436994), ('pih', -0.04802807422056906)], 'neutral': [('hana', -0.22289265795742777), ('nyoe', -0.1201759810887505), ('leumoh', 0.11725179435150837), ('pih', -0.07856758368706684), ('Cit', -0.06472792904910131), ('tanyoe', 0.05449791200282521)], 'positive': [('hana', -0.2116342500080733), ('pih', 0.12322575028533127), ('tanyoe', 0.10731882380132814), ('jih', 0.08579377999070918), ('sebeutoi', -0.04116810043826089), ('leumoh', -0.03952496546715477)]}
874;Teuakhe jak u hanamasa yumjih sereutoh dua ploh ribee 120/ureueng. tapi pueh leubeh bak nyan. Jeuet cok makanan ube nyang galak, tapi rasa hana peuget cut ate, beucarong tanyoe bak taboh-boh ju keudroe. Meunyo ureueng galak sie leumo musti galak jak keunoe.;positive;[0.2964911571814696, 0.16498483545434073, 0.5385240073641897];positive;{'negative': [('galak', -0.2702528643038685), ('hana', 0.16084344169325757), ('tanyoe', -0.08260148107170047), ('nyan', 0.07554980335338736), ('ureueng', 0.07523223880148044), ('makanan', -0.06189932459931212)], 'neutral': [('hana', -0.11654008756835343), ('ureueng', -0.08110971620611386), ('rasa', -0.07645567312335), ('dua', 0.07063603438484779), ('keunoe', -0.0616067530297146), ('120', 0.05891288992972901)], 'positive': [('galak', 0.28149192053983985), ('makanan', 0.10352870986889111), ('keudroe', 0.07658790323375127), ('cok', -0.06682345862823327), ('sie', 0.06594626948756047), ('hana', -0.06177888597582568)]}
336;Meunyo tajak u The Peak memang terasa leupah jioh dari pusat Kota Bandung dan jalanjih yang agak peuget mumang ngon jalan ubit nyang meuputa-puta. Tapi mungkin cit gata hana akan sesat sebab karap bak tip keumeuwet na tanda rot untuk jak u The Peak. Tempat jih leupah lagak keu gata yang mita suasana malam yang romantis ngon pemandangan malam kota yang cukop indah.;positive;[0.0412748256362689, 0.01126363368315699, 0.947461540680574];positive;{'negative': [('ngon', -0.09507049857320438), ('yang', -0.07283022454405372), ('hana', 0.05991733696087997), ('gata', -0.058110452616145114), ('dan', -0.04872195068813112), ('suasana', -0.046121361513687814)], 'neutral': [('gata', -0.035637478613088365), ('dan', -0.03270672754656215), ('cukop', -0.027257245042179825), ('Tempat', -0.027102867994054702), ('leupah', -0.02601471197463868), ('ngon', -0.02465066315822192)], 'positive': [('ngon', 0.1111939202500914), ('gata', 0.08671550642142709), ('yang', 0.08494088276490469), ('dan', 0.07429614416391717), ('lagak', 0.0568970654201651), ('leupah', 0.055943486435434994)]}
464;Kebun raya bogor jeut tacok keu saboh tujuan destinasi wisata;neutral;[0.04526772935869186, 0.9288002821090169, 0.025931988532291127];neutral;{'negative': [('saboh', -0.057026990410643005), ('jeut', -0.04758567522305615), ('keu', 0.010815353502842136), ('wisata', -0.01058103947792369), ('tujuan', -0.005913821998039581), ('bogor', 0.002015438283968158)], 'neutral': [('saboh', 0.07113391720414605), ('jeut', 0.04790430176282765), ('keu', -0.02305594484535409), ('wisata', 0.018810651299741733), ('bogor', 0.015380060253099348), ('tujuan', 0.010928731095749761)], 'positive': [('bogor', -0.017069305839056508), ('saboh', -0.013745136757702956), ('keu', 0.012614761797359538), ('wisata', -0.007864236839372226), ('raya', -0.007134780533189862), ('tujuan', -0.0046451108946813984)]}
254;The peak meuteumpat di toe lembang, teumpat manyang di bandung nyang sijuk dan teumpat nyang cukop get tapi jalan untuk troh u teumpat nyoe brat that meulikok meutamah lom ngon tekongan tajam, leubeh get bek ta ba moto atawa honda 'oh watee ujeuen dan malam uroe. Bak the peak na keuh rumoh makan ngon pemandangan Kota Bandung nyang lagak dari buket, yum makanan nyang brat that meuhai dan hana sibandeng.;negative;[0.05569689458407217, 0.0013879445509503317, 0.9429151608649774];positive;{'negative': [('dan', -0.16502155196359772), ('teumpat', -0.11846784607321993), ('ngon', -0.11299223728140287), ('hana', 0.07266556841167296), ('peak', 0.05822431869478299), ('lagak', -0.05554609460492806)], 'neutral': [('dan', -0.026523817549729514), ('that', -0.022355284946388682), ('get', -0.01591440823151761), ('ta', -0.013124892659687361), ('teumpat', -0.012862831016119932), ('uroe', -0.010634385568756097)], 'positive': [('dan', 0.1950245434647604), ('teumpat', 0.13478121306352542), ('ngon', 0.1255055588988185), ('lagak', 0.06765255947938248), ('hana', -0.060232126216060625), ('peak', -0.05905406443215687)]}
