id;text;label;predict_proba;predict_label;lime_weights
411;Nampek saking hotel tiang nginep, prasida karereh majalan batis, driki akeh pesan pilihan ajengannyane, genahne sane linggah, lan ngaenang liang. ;positive;[0.012139124503482793, 0.009435806436608749, 0.9784250690599084];positive;{'negative': [('pilihan', -0.06862548249631949), ('driki', -0.059658392870024446), ('liang', -0.057078777147848626), ('lan', -0.0507717052472071), ('pesan', -0.04226755447254359), ('hotel', 0.0404690850224526)], 'neutral': [('pesan', -0.07067913651104336), ('lan', -0.047961979800766), ('genahne', -0.04319156235280325), ('liang', -0.0399003050871394), ('ngaenang', -0.03811732825615612), ('driki', -0.03468720535839346)], 'positive': [('pesan', 0.10877898397240762), ('lan', 0.09505913439128187), ('liang', 0.092103956125527), ('driki', 0.08967946851100321), ('pilihan', 0.07985252268161416), ('genahne', 0.06794712407833789)]}
729;Ae beneh, iye sedeng nyaga warung;neutral;[0.38330186180028064, 0.6020836590179023, 0.014614479181816934];neutral;{'negative': [('warung', -0.18959588697907737), ('sedeng', 0.14662386821225795), ('beneh', 0.06576547187216439), ('Ae', -0.009806838342281902), ('nyaga', 0.0002133266733868671), ('iye', 1.4601578188880565e-05)], 'neutral': [('warung', 0.20737363514253115), ('sedeng', -0.14563187248074289), ('beneh', -0.06213880292076827), ('Ae', 0.00631495426567213), ('iye', 0.00014628111662901382), ('nyaga', 6.641451640137265e-05)], 'positive': [('warung', -0.01777774816345389), ('beneh', -0.0036266689513964495), ('Ae', 0.0034918840766096264), ('sedeng', -0.000991995731515166), ('nyaga', -0.000279741189788277), ('iye', -0.00016088269481778203)]}
373;Kangkung ne lumayan utawi yuyu saus padang ne ngranang keciwa irage baange yuyu sane kopong dadine irage ten ngajeng yuyu ne lan ke uliang.;negative;[0.7889760957911901, 0.04177414118857172, 0.16924976302023836];negative;{'negative': [('ten', 0.2064199221710685), ('keciwa', 0.11894546397285506), ('ke', -0.0813233501843261), ('padang', 0.0766200334285824), ('lan', -0.06892084122485016), ('dadine', 0.05953437743986862)], 'neutral': [('ne', -0.12762281362522665), ('ten', -0.09978475171844006), ('ngajeng', -0.042636664958199066), ('lumayan', -0.038234199844779784), ('ke', 0.03669140420430444), ('baange', 0.030581752930206596)], 'positive': [('ne', 0.12350974383741704), ('ten', -0.11569818616081552), ('keciwa', -0.09990937552628203), ('lan', 0.08604256249920343), ('ngajeng', 0.07512570713501618), ('padang', -0.067410452078488)]}
262;magenah ring braga city walk sane asiki gedungne sareng aston lan fave hotel, genah e puniki nyaman sajan anggen nongkrong. Kopi kacampur teh sane kapertama tiang rasaang asapunika jaen pesan, campurang ajak taluh sane lebeng ne atenge dados nimpalin ngorte ajak timpal-timpal. Area sane bebas ngeroko ngancan asyik sambilang ngrasayang pemandangan anake ane  pesu lan macelep mal niki. ;positive;[0.0102299471691671, 0.005495749937759476, 0.9842743028930737];positive;{'negative': [('lan', -0.05965913547199918), ('sane', -0.051524965784952276), ('nyaman', -0.0389224996444761), ('Kopi', -0.03719100226899616), ('sareng', -0.03581499678968206), ('niki', 0.032258400275280506)], 'neutral': [('lan', -0.050093853574341526), ('sane', -0.04463823372720533), ('pesan', -0.03620055542524993), ('sajan', -0.03606622549606929), ('jaen', -0.032858269571870304), ('ne', -0.023537295459604018)], 'positive': [('lan', 0.10871872590682445), ('sane', 0.09206221761320049), ('pesan', 0.06519330688401816), ('jaen', 0.06153889527187461), ('nyaman', 0.055737598278174025), ('sajan', 0.052492766050249294)]}
177;Gianyar nerime bantuan sosial 2018 sebesar rp 44,9 miliar;neutral;[0.1307768151970848, 0.8257822759158322, 0.043440908887082824];neutral;{'negative': [('rp', -0.10577882821641103), ('miliar', -0.05602092517917835), ('sosial', 0.028400462370194255), ('2018', -0.008777393683001811), ('nerime', -0.0014712364572100494), ('Gianyar', -0.001306291077056895)], 'neutral': [('rp', 0.07816107865223809), ('miliar', 0.0736345965306732), ('2018', 0.03367341973303638), ('sosial', -0.030718186024032694), ('nerime', 0.0013152783111918616), ('Gianyar', 0.001186487708248664)], 'positive': [('rp', 0.027635246333515242), ('2018', -0.0248818182508523), ('miliar', -0.01759493307529598), ('sosial', 0.00233729969765089), ('44', -0.00020926405556076041), ('nerime', 0.00017842161317431244)]}
560;Ne salah satu contoh generasi ane sing berguna. Tusing malah bermanfaat untuk bangsa nangging malah dadi sesuatu ane berbahaya bagi bangsa! Mantap jerat gen anggon uu ite;negative;[0.8690234002577779, 0.06121885864021805, 0.06975774110200415];negative;{'negative': [('sing', 0.20557967337223018), ('Tusing', 0.1849642323873501), ('malah', 0.18059432947173504), ('anggon', -0.11240808540554652), ('ane', -0.09245653688524212), ('gen', 0.08986634606964285)], 'neutral': [('Tusing', -0.12511050382787742), ('malah', -0.11797486426479978), ('sing', -0.09495763011713305), ('generasi', 0.05557508535229574), ('Ne', -0.0533875591762982), ('satu', 0.0385346291360309)], 'positive': [('sing', -0.11487551125937039), ('anggon', 0.11005739977770908), ('ane', 0.07351037700358175), ('malah', -0.067709616848645), ('Tusing', -0.0627209950732115), ('gen', -0.05832066727759606)]}
834;Rahajeng sanja timpal. jani sedek kalaksananyang pemeliharaan dadine meakses;neutral;[0.6799379483592533, 0.2893437343669976, 0.030718317273749022];negative;{'negative': [('jani', 0.2967942848406163), ('sedek', -0.22131911905854323), ('dadine', 0.14280368171578334), ('sanja', 0.0701883772464001), ('Rahajeng', -0.058593505065417224), ('timpal', 0.001231148404678666)], 'neutral': [('jani', -0.3126182328358255), ('sedek', 0.22673165025199027), ('dadine', -0.12502027710735505), ('Rahajeng', 0.08079144945584857), ('sanja', -0.05896082876694726), ('timpal', -0.02188309473805273)], 'positive': [('Rahajeng', -0.0221979443904314), ('timpal', 0.020651946333373923), ('dadine', -0.017783404608428352), ('jani', 0.01582394799520946), ('sanja', -0.011227548479452877), ('sedek', -0.0054125311934471385)]}
619;Mula enduk iraga ne tiyang masih getap sujatine;negative;[0.6221498580606734, 0.19586305486622763, 0.18198708707309896];negative;{'negative': [('enduk', 0.2743405904373842), ('Mula', 0.13899480180004414), ('sujatine', -0.11774975653413221), ('ne', 0.09069619732738769), ('tiyang', -0.07561214872440557), ('iraga', -0.061926525790372694)], 'neutral': [('ne', -0.19259651031749192), ('sujatine', 0.1851543876065806), ('masih', -0.13669044119382437), ('Mula', -0.1256931454320163), ('tiyang', 0.048557998642575824), ('enduk', -0.030340231015098484)], 'positive': [('enduk', -0.24353514400666215), ('masih', 0.11536095136837594), ('ne', 0.10331730928505829), ('sujatine', -0.06690688916760766), ('iraga', 0.042541545386482596), ('tiyang', 0.02759622268336696)]}
874;Terakhir ka hanamasa ajine 120 ribu/orang. Nanging puasne lebih teken ento. Dadi nyemak ajengan sepuasne, nanging rasa sing ngae kuciwa, dueg-dueg iraga gen ngeracik padidi. Yen penggemar daging sampi pasti demen mai.;positive;[0.8010719886760386, 0.10460090570502165, 0.09432710561893992];negative;{'negative': [('sing', 0.18448371050303106), ('kuciwa', 0.1688009871371087), ('ribu', -0.10247094777760747), ('gen', 0.08710336998947711), ('lebih', 0.07079461476182725), ('daging', -0.06801857213529308)], 'neutral': [('kuciwa', -0.11934384919586129), ('sing', -0.10266023938595488), ('lebih', -0.07511916627649366), ('ribu', 0.06946544555710342), ('ajine', -0.06206951251142628), ('120', 0.057585075039077276)], 'positive': [('sing', -0.09395588197881381), ('kuciwa', -0.06258135506856402), ('daging', 0.060178915230837834), ('ajine', 0.05429722211999378), ('gen', -0.05183674001918447), ('ajengan', 0.04919648558035056)]}
336;Yening ka tuju ke the peak mula merasa joh sajan uli pusat kota bandung, lan aksesne sane ngranayang bingung lan jalan cenik ne mebelok-belok. Sakewale ragane mungkin tusing lakar tersesat krane das ring pengkolane wenten signage katuju ke the peak. Genane becik sajan anggon ngalih suasana sane romantis ring dina wengi, lan pemandangan wengi kota sane becik sajan.;positive;[0.020562524218936624, 0.001554634305638244, 0.9778828414754253];positive;{'negative': [('lan', -0.10309794831410751), ('kota', -0.08477274290492837), ('sajan', -0.06247578512255222), ('peak', 0.06232701617995106), ('anggon', -0.062016339079041714), ('ring', -0.05752756132051823)], 'neutral': [('sajan', -0.0389359554202881), ('lan', -0.030810819702988174), ('anggon', -0.016430764369428846), ('becik', -0.01608850142321997), ('sane', -0.014981099190551721), ('tusing', -0.01226631003998126)], 'positive': [('lan', 0.13701970803935634), ('sajan', 0.10604988378903822), ('kota', 0.09256486896241951), ('anggon', 0.08127377055001005), ('sane', 0.07384946909468372), ('peak', -0.0685766096453066)]}
