id;text;label;predict_proba;predict_label;lime_weights
411;Parak lawan hotel wadah ulun bamalam, bajalan batis haja, di sini banyak banar pilihan makanannya, wadah nang luas, wan rami.;positive;[0.08112536987009211, 0.016381810112408544, 0.9024928200174991];positive;{'negative': [('haja', 0.1455890770443147), ('pilihan', -0.09384463935697183), ('di', -0.08957337017869875), ('wan', -0.08935405885214552), ('luas', -0.07790235161531142), ('Parak', -0.07396039770527998)], 'neutral': [('banar', -0.10710704077697786), ('wadah', -0.10688122514343064), ('wan', -0.08153020991423797), ('makanannya', -0.061173446385643496), ('bajalan', 0.05608942881190584), ('bamalam', 0.04558625951895961)], 'positive': [('wan', 0.1720846820829989), ('wadah', 0.1398519792155774), ('haja', -0.12905563071609602), ('luas', 0.12866796410753933), ('banar', 0.12211136579680956), ('sini', 0.10549351446727012)]}
729;Inggih bujur, inya lagi bajaga warung;neutral;[0.01186129916827566, 0.976193922435145, 0.011944778396579356];neutral;{'negative': [('inya', -0.045189853390460465), ('warung', -0.04326507630315111), ('lagi', -0.01072301610892984), ('bujur', -0.003507648866616277), ('Inggih', -0.0020843456591542854), ('bajaga', -0.0016943526773750396)], 'neutral': [('warung', 0.08966562893499945), ('inya', 0.08663694366720831), ('bujur', -0.013045239568818376), ('Inggih', 0.0035774898027950306), ('bajaga', 0.0023015304526689344), ('lagi', 0.0006052715174936926)], 'positive': [('warung', -0.0464005526318482), ('inya', -0.04144709027674802), ('bujur', 0.016552888435434645), ('lagi', 0.010117744591436143), ('Inggih', -0.001493144143640762), ('bajaga', -0.0006071777752938852)]}
373;Kangkungnya sadang tapi kapiting saus padangnya mambari muar dibari kapiting nang kusung lalu kami kada makan kapitingnya wan dibulikakan.;negative;[0.8774833215517341, 0.07587138985301949, 0.04664528859524655];negative;{'negative': [('kada', 0.24503971186333603), ('muar', 0.16476112900877535), ('kapiting', -0.11633220732233487), ('lalu', 0.07960333168792895), ('mambari', 0.059885059922551), ('nang', -0.033033651522744935)], 'neutral': [('kada', -0.17137084577635572), ('kapiting', 0.10369251638348204), ('muar', -0.10202181484454419), ('makan', -0.06565581761964902), ('wan', -0.04910858840740676), ('lalu', -0.03868750039761261)], 'positive': [('kada', -0.07019192774509292), ('muar', -0.060096799963110195), ('wan', 0.04974244726914531), ('makan', 0.04459627790791711), ('lalu', -0.036776870657866396), ('mambari', -0.02777506433658839)]}
262;Bawadah di braga city walk nang satu gadung lawan aston wan fave hotel, wadah ini liwar nyaman gasan baramian. Kupi campur teh nang hanyar sakali ulun rasain sakalinya liwar nyaman, dicampur lawan hintalu satangah masak jadi kawan bapanderan lawan kakawanan. Wadah nang kawa gasan baroko makinnya maulah rami sambil manikmati pamandangan lalu lalang urang urang nang kaluar masuk mal ini;positive;[0.15208400175956474, 0.004572802469251651, 0.8433431957711837];positive;{'negative': [('nyaman', -0.25281629002822625), ('ini', 0.16659504703384942), ('nang', -0.14175790635199031), ('urang', 0.10704363624451015), ('teh', -0.09270620196728237), ('gasan', -0.08938468980264087)], 'neutral': [('nyaman', -0.05559871864676111), ('liwar', -0.03628605684164103), ('ini', -0.02640637703691103), ('lawan', -0.019263948297393037), ('wan', -0.01910486633404471), ('wadah', -0.017815572548072894)], 'positive': [('nyaman', 0.31126885177174385), ('nang', 0.16033435515464967), ('ini', -0.1308466479337886), ('teh', 0.10738437256340304), ('wan', 0.09935627727002233), ('urang', -0.09471781365685313)]}
177;Gianyar manarima bantuan sosial 2018 sabanyak rp 44,9 miliar;neutral;[0.11962985421141115, 0.8369726331874167, 0.04339751260117277];neutral;{'negative': [('rp', -0.12200070589545266), ('manarima', 0.102531121935927), ('miliar', -0.05002619409832649), ('2018', -0.049386345211944245), ('sosial', 0.006001309838856497), ('Gianyar', 0.001432774063264826)], 'neutral': [('rp', 0.09747438413110053), ('manarima', -0.09645877892029717), ('2018', 0.06758228267783685), ('miliar', 0.06144084292239357), ('sosial', -0.008124212642293028), ('Gianyar', -0.0010335513846703634)], 'positive': [('rp', 0.024526321764352103), ('2018', -0.01819593746589257), ('miliar', -0.011414648824067007), ('manarima', -0.006072343015629942), ('sosial', 0.0021229028034366057), ('Gianyar', -0.0003992226785944149)]}
560;Ngini salah sauting contoh generasi nang kada baguna. Lainnya bamanfaat gasan bangsa malahan jadi sasuatu nang babahaya gasan bangsa! Mantap jarat haja makai uu ite;negative;[0.7857220020143522, 0.07384128562232135, 0.14043671236332672];negative;{'negative': [('kada', 0.2797839409094698), ('haja', 0.18557530102801373), ('gasan', -0.17373263059728353), ('salah', -0.16321852611883206), ('malahan', 0.15136556878426338), ('jadi', 0.11798325728619048)], 'neutral': [('kada', -0.16769523989178384), ('Ngini', -0.10536434846192631), ('salah', 0.093290932013155), ('malahan', -0.08659577182674716), ('haja', -0.07962384358634902), ('sauting', 0.0656590190150787)], 'positive': [('kada', -0.13007232245207084), ('haja', -0.11883206501608763), ('nang', 0.1105467263356965), ('Mantap', 0.10582518908658047), ('gasan', 0.09990164270264079), ('jadi', -0.09040068205548622)]}
834;ini lagi dilakukan pamaliharaan paampihannya aplikasi kada kawa diakses;neutral;[0.561585468357459, 0.38501097551149566, 0.053403556131045256];negative;{'negative': [('kada', 0.4544086398945231), ('paampihannya', -0.31630387882812583), ('ini', 0.283104826744732), ('lagi', -0.09083659426221785), ('aplikasi', -0.07710860675999508), ('kawa', -0.07589850407163246)], 'neutral': [('kada', -0.3901470284597015), ('paampihannya', 0.35207690330918906), ('ini', -0.2645970799272408), ('lagi', 0.07057914977360795), ('kawa', 0.06172920268262205), ('aplikasi', 0.019795561140268935)], 'positive': [('kada', -0.06426161143482137), ('aplikasi', 0.05731304561972627), ('paampihannya', -0.035773024481063634), ('lagi', 0.020257444488610086), ('ini', -0.018507746817491528), ('kawa', 0.014169301389010194)]}
619;Dasar lamah kita ini ulun jua panakutan sabujurnya;negative;[0.8221837204077111, 0.10978979631994572, 0.06802648327234326];negative;{'negative': [('ini', 0.36154841660428394), ('kita', -0.23691053988733732), ('Dasar', 0.10322609176301703), ('sabujurnya', 0.10269591602594064), ('ulun', 0.057600921961873754), ('jua', 0.039454251011676655)], 'neutral': [('ini', -0.2627684828939768), ('kita', 0.217922241117911), ('jua', -0.12981191720607094), ('Dasar', -0.10073754221711889), ('ulun', -0.048167827004986806), ('sabujurnya', -0.029102076569937376)], 'positive': [('ini', -0.09877993371030777), ('jua', 0.09035766619439445), ('sabujurnya', -0.07359383945600323), ('kita', 0.01898829876942629), ('ulun', -0.00943309495688695), ('Dasar', -0.0024885495458981995)]}
874;Terahir ke hanamasa haraganya 120 ribu / urang. Tapi puasnya labih dari itu. Kawa maambil makanan sapuasnya, tapi rasa kada mangaciwaakan, pintar-pintar kita haja maracik surangan. Kalu katuju daging sapi pasti katuju kasini.;positive;[0.5095041082588938, 0.10425708815518657, 0.3862388035859195];negative;{'negative': [('kada', 0.22047113547939928), ('haja', 0.15204002068761832), ('katuju', -0.13784416757585063), ('kita', -0.09523289364802144), ('urang', 0.08780925685973802), ('surangan', -0.08144154136806446)], 'neutral': [('kada', -0.11183669734320735), ('120', 0.09589579616038822), ('rasa', -0.07463545639978901), ('makanan', -0.06847049850126348), ('katuju', -0.06371812068518715), ('Kalu', -0.06084258371673976)], 'positive': [('katuju', 0.18674307414517563), ('kada', -0.13129190702646337), ('haja', -0.1156813441526786), ('haraganya', 0.11404916848923184), ('surangan', 0.08761391318468002), ('makanan', 0.06860414805902554)]}
336;Gasan manuju ka the peak dasarnya rasa pina  jauh banar matan tangah kota bandung, wan masuknya nang maulang bingung wan jalan halus babilok-bilok. Tapi pian mudahan kada sasal gara-gara bilang saban bilukan ada signage manuju ka the peak. Wadahnya liwar bagus gasan pian nang bacari suasana malam rumantis, lawan pamandangan malam kota nang bungas.;positive;[0.049530714407566484, 0.02295729776655018, 0.9275119878258832];positive;{'negative': [('kota', -0.08683445760952856), ('wan', -0.07996112487706919), ('pina', 0.0727810919658593), ('mudahan', -0.06821855409548676), ('nang', -0.06717050271697704), ('ka', -0.06458938422253359)], 'neutral': [('wan', -0.08951615400996625), ('manuju', 0.08048294148499012), ('banar', -0.07060611890528987), ('malam', -0.06129469578534073), ('rasa', -0.05015115397415877), ('liwar', -0.04923106517520617)], 'positive': [('wan', 0.168410553165219), ('nang', 0.12467692739804039), ('kota', 0.10379383989090335), ('Wadahnya', 0.09772003326286444), ('mudahan', 0.08652949424565776), ('peak', -0.06975778104479416)]}
464;Kabun raya bogor kawa dijadikan salah sabuting tujuan destinasi wisata;neutral;[0.06185062980771764, 0.8309411406320361, 0.10720822956024602];neutral;{'negative': [('salah', -0.07403362593071953), ('bogor', -0.03987574702433433), ('sabuting', 0.030354365463246758), ('kawa', -0.019785761803474314), ('wisata', 0.019353824420345368), ('tujuan', -0.01858093831661736)], 'neutral': [('bogor', 0.12413595959322075), ('sabuting', -0.08356919803162867), ('raya', -0.06798558478790358), ('salah', 0.06275808073354883), ('tujuan', 0.05856477786842505), ('wisata', -0.02174081174074142)], 'positive': [('bogor', -0.0826233288793619), ('raya', 0.060917635684261624), ('sabuting', 0.054543817211277025), ('tujuan', -0.03897843809375676), ('salah', 0.012576594535825726), ('kawa', 0.008973231579893487)]}
254;The peak balokasi di parak lembang, dataran tinggi di bandung nang dingin wan wadahnya nang baik banar tapi jalanan gasan manuju wadah ini baliuk banar wan jua pingkulannya landap wan dalam. kada disarankan gasan bakenderaan pas hujan wan malam hari. Di the peak ada ristoran ba pamandangan kota bandung nang bungas matan bubukitan, haraga makanan nang liwar larang wan liwar kada sasuai.;negative;[0.008663052871136181, 0.0007250483032376671, 0.9906118988256262];positive;{'negative': [('wan', -0.14111077576985467), ('kada', 0.07593243909980998), ('nang', -0.06010360269101323), ('baik', -0.04562532092125253), ('di', -0.044448326778124325), ('wadahnya', -0.04423656477252192)], 'neutral': [('wan', -0.03856915837075225), ('banar', -0.027806642568040375), ('liwar', -0.01951339619762777), ('baik', -0.017028004908553294), ('kada', -0.014828643601607053), ('nang', -0.01078817090354015)], 'positive': [('wan', 0.1815220766229554), ('nang', 0.0714057842103441), ('banar', 0.06832383633790706), ('baik', 0.06368648184900991), ('kada', -0.05907278381031056), ('wadahnya', 0.054566725103518746)]}
