id;text;label;predict_proba;predict_label;lime_weights
411;sideppa pole hotele onroakku mabbenni, jokka mi, mega anre-anre wedding lai pitte, maloang onroanna, na makanja';positive;[0.09705179779380183, 0.12965045025581273, 0.7732977519503853];positive;{'negative': [('anre', -0.1976693079334795), ('mi', 0.11736759068916985), ('makanja', -0.09920861707102534), ('hotele', 0.09802479653040666), ('jokka', -0.08536713533144591), ('onroanna', -0.07465975795246531)], 'neutral': [('anre', -0.22795970679926697), ('makanja', -0.17352754365114356), ('na', -0.14077296158685362), ('jokka', 0.11664436830502495), ('mabbenni', 0.11070319888715881), ('wedding', 0.09544378626903537)], 'positive': [('anre', 0.40108170787844616), ('makanja', 0.24829010066288942), ('onroanna', 0.14179467929568712), ('mabbenni', -0.13997155006349346), ('wedding', -0.09760637547083964), ('maloang', 0.09746980283428759)]}
729;iya tongeng, majjaga warung i makkokkoe;neutral;[0.8889033848176083, 0.09059528571159385, 0.020501329470797768];negative;{'negative': [('makkokkoe', 0.6696158212135321), ('warung', -0.11989217639151126), ('tongeng', 0.09138075958224412), ('iya', -0.05668599924736523), ('i', -0.0008466862555602389), ('majjaga', -0.00017166621490702087)], 'neutral': [('makkokkoe', -0.6188743718061571), ('warung', 0.14868065116537407), ('tongeng', -0.08628523777155876), ('iya', 0.03378617023842556), ('majjaga', 0.0022841090235078353), ('i', 0.0009090731846844696)], 'positive': [('makkokkoe', -0.050741449407375745), ('warung', -0.028788474773862902), ('iya', 0.022899829008939627), ('tongeng', -0.005095521810685389), ('majjaga', -0.0021124428086007696), ('i', -6.238692912419056e-05)]}
373;Lare' na makessing sa tapi bukkang saos padang na mappasara nyawa ladde' lao ri id' maneng nawerengngi bukkang maja e mancaji idi' maneng de yanrei bukkanna sibawa laipalisui.;negative;[0.9156883701329289, 0.012556694967611382, 0.07175493489945979];negative;{'negative': [('de', 0.13262322967421059), ('nyawa', 0.12149198347785782), ('na', 0.11376890652678161), ('mappasara', 0.10815820159032484), ('makessing', -0.08655885253430233), ('sibawa', -0.08414840493133031)], 'neutral': [('na', -0.07988926902136657), ('maneng', -0.0726120555697318), ('ladde', -0.0401315393817101), ('de', -0.03931096532806725), ('nyawa', -0.03525530490987167), ('ri', 0.026344717714269737)], 'positive': [('makessing', 0.1036191356477293), ('mappasara', -0.09035070819327173), ('sibawa', 0.08474247426052278), ('de', -0.08335081368979674), ('nyawa', -0.07517206825527672), ('mancaji', -0.06504371333579462)]}
262;Tujunna okko braga city walk si-gedung i sibawa aston sibawa fave hotel, iyye onroang e makan nyameng lai yonri cado'-cado'. Kopi lai pasicampuru' teng iye nappanna upirasai na malunra' sa pale, lai pasibawa toni tello sitengnga manasu mancaji wi sibang maccarita sibawa anggota e. Anroanna wedding yonri  mappelo mattambani nyamenna lai yita toni tau e mallao lisu massu tama okko iyye mal e.;positive;[0.10300347721229886, 0.027438417550876715, 0.8695581052368248];positive;{'negative': [('sibawa', -0.2584976386607869), ('iyye', 0.13499443238735542), ('malunra', -0.11275685471474493), ('okko', -0.10407845448056477), ('lai', 0.10072102519728632), ('Kopi', -0.07994498504104669)], 'neutral': [('lai', -0.05797623538210026), ('malunra', -0.04831156180857824), ('sibawa', -0.04570715352973009), ('na', -0.03530330583111277), ('iye', -0.02697966202206513), ('lisu', -0.024402941401075847)], 'positive': [('sibawa', 0.2996552147126042), ('malunra', 0.16009617778313726), ('iyye', -0.13297629693514157), ('Kopi', 0.09410526000786007), ('cado', 0.08982166079137646), ('okko', 0.0746308042748424)]}
177;Gianyar tarimai bantuang sosial 2018 eganna rp 44,9 miliar;neutral;[0.1521198865864257, 0.7647115394709286, 0.08316857394264561];neutral;{'negative': [('rp', -0.10319771527559078), ('eganna', 0.08000486074500208), ('miliar', -0.0596492734022028), ('2018', -0.016433052551576267), ('sosial', 0.006305659173254475), ('9', 0.0014487434527287368)], 'neutral': [('eganna', -0.08556311028892637), ('miliar', 0.07445447476753562), ('2018', 0.07360118262500659), ('rp', 0.04170019013009775), ('sosial', -0.004337723021088652), ('9', -0.000891455912553113)], 'positive': [('rp', 0.06151185107413189), ('2018', -0.057158856524764406), ('miliar', -0.014801922973207959), ('eganna', 0.005589800286903645), ('sosial', -0.001945491313637101), ('bantuang', -0.0008184929587401495)]}
560;Iyana bara siddi' na contoh generasi iyae de' nakkeguna. Tennia manjaci are' makkeguna lao ri bangsa e tapi mancaji mi are' mappabbittau lao okko bangsa e! Tongeng, tikkeng bawanni pake uu ite;negative;[0.538680455495111, 0.41991226672507753, 0.04140727777981139];negative;{'negative': [('are', 0.18491291600319384), ('siddi', -0.18046401096812079), ('okko', -0.17213793731547966), ('de', 0.16212178491386886), ('na', 0.149303314253361), ('mi', 0.13745379399343421)], 'neutral': [('are', -0.1973355617760621), ('na', -0.18149508690103722), ('de', -0.1659131388044847), ('siddi', 0.15058950189912934), ('nakkeguna', 0.13213860149694331), ('okko', 0.12518303472774855)], 'positive': [('mancaji', -0.031146420162146936), ('de', -0.020689148632420135), ('mi', -0.020326308811720494), ('okko', 0.017015460376754183), ('ri', 0.01527924681189276), ('bara', 0.015222732266860663)]}
834;areweng sappo, makkokkoe mattangangngi laipakanjaki mancaji aplikasie de' nullei lai bukka;neutral;[0.9520098515371171, 0.04508645133322852, 0.002903697129654306];negative;{'negative': [('makkokkoe', 0.2510166439355635), ('de', 0.12533637667058467), ('nullei', 0.11521332665151979), ('laipakanjaki', -0.10059508605822312), ('lai', 0.09842728211694915), ('bukka', -0.06788018076580543)], 'neutral': [('makkokkoe', -0.24052364429479314), ('de', -0.11700117721737388), ('nullei', -0.11230785823569513), ('laipakanjaki', 0.09865869237656585), ('lai', -0.09670811557700501), ('bukka', 0.0660556190406872)], 'positive': [('makkokkoe', -0.010037558119076492), ('de', -0.008049608003959364), ('mancaji', -0.007677372808885476), ('nullei', -0.002721286899944356), ('bukka', 0.002347530330603618), ('laipakanjaki', 0.002263869422288604)]}
619;malemma memengki idi' maneng iyya aga pabbitaureng sitongenna;negative;[0.8654343084464414, 0.03375035258706003, 0.10081533896649855];negative;{'negative': [('sitongenna', 0.12358446172842276), ('aga', 0.10687867671460372), ('idi', 0.09504767382174532), ('maneng', 0.04666486364771417), ('malemma', -0.01444154931124067), ('iyya', 0.012061006819092857)], 'neutral': [('aga', -0.13412849718752298), ('maneng', -0.12195100226652372), ('idi', -0.020909375053109625), ('malemma', -0.0207007339026614), ('iyya', -0.00988950581158251), ('sitongenna', -0.004659738482576225)], 'positive': [('sitongenna', -0.11892472324584663), ('maneng', 0.07528613861880921), ('idi', -0.07413829876863583), ('malemma', 0.035142283213902024), ('aga', 0.027249820472919527), ('iyya', -0.0021715010075104265)]}
874;Paccappureng ku lao okko hanamasa ellinna 120 sebbu / tau. Tapi iya ipirasai e lebbipa na iyaro. Weddikki' mala anre lettu cau', tapi rasana de na mappasara nyawa aga, macca-macca ta' maccampuru' cadiddi. Narekko pappoji juku saping tette' napoji lao okkoe.;positive;[0.5098997831477707, 0.07906414152617547, 0.41103607532605324];negative;{'negative': [('de', 0.13828285360458323), ('okko', -0.12836960388036125), ('anre', -0.12174071360278149), ('na', 0.12024902771978029), ('nyawa', 0.11912063760957668), ('mappasara', 0.1130876296414207)], 'neutral': [('na', -0.15420473085026143), ('aga', -0.09200449065476496), ('rasana', -0.06747859732400557), ('de', -0.05832174070817257), ('ku', 0.05056227321008184), ('120', 0.04890783234511112)], 'positive': [('anre', 0.16953738969451077), ('okkoe', 0.11581060750491526), ('mappasara', -0.10376611807533159), ('okko', 0.09644808994767726), ('de', -0.09561494976153713), ('nyawa', -0.08588464592166127)]}
336;Ko tallao okko teh peak sitinajai laiseddingngi maka bela pole tengngana kota bandung, sibawa lalenna mappapusa cedde' sibawa laleng e mabiccu na mallekko-lekko. Tapi idi' nulle de ta pusa nasaba' tungke' lekoreng engka signage lettu okko the peak. Anroanna maka kanja' lao okko idi' massappae appeneddingeng wenni iya magello e, sibawa pattiro wenninna kota bandung iya mabello e.;positive;[0.057219788166160385, 0.03365872454388622, 0.9091214872899532];positive;{'negative': [('sibawa', -0.21558777572107354), ('okko', -0.145554943861006), ('kota', -0.08091187415121957), ('peak', 0.06546859369255882), ('de', 0.055977907260176825), ('idi', 0.04813332638336554)], 'neutral': [('maka', -0.08788848880137898), ('sibawa', -0.07768353850751004), ('na', -0.0376572739414202), ('Anroanna', -0.030973334106815777), ('bandung', -0.0299964925801112), ('kanja', -0.02816613565169781)], 'positive': [('sibawa', 0.2980382343726834), ('okko', 0.11469543931073373), ('peak', -0.0945126901048394), ('maka', 0.09395864837900617), ('kota', 0.07911768173399585), ('Anroanna', 0.07021008463002272)]}
