id;text;label;predict_proba;predict_label;lime_weights
411;Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan;positive;[0.04394736264166428, 0.022015100692630574, 0.9340375366657052];positive;{'negative': [('pilihan', -0.10872026438818967), ('menyenangkan', -0.0992290439999392), ('hotel', 0.0817382788383944), ('di', -0.07731438354793727), ('sekali', 0.07618056781923226), ('dengan', -0.07563208917772536)], 'neutral': [('tempat', -0.06797361951194096), ('sekali', -0.0592971332571169), ('menyenangkan', -0.055727581664076875), ('dan', -0.05436462661451575), ('makanannya', -0.05247810237943239), ('menginap', 0.04242362921607472)], 'positive': [('menyenangkan', 0.15003683465674975), ('pilihan', 0.11549169918569599), ('tempat', 0.11305849665510335), ('sini', 0.10926341692334243), ('dan', 0.10230495597811548), ('hotel', -0.09806209679886775)]}
729;Iya benar, dia sedang jaga warung.;neutral;[0.0232314608896576, 0.9732814004297543, 0.0034871386805881235];neutral;{'negative': [('dia', -0.059181567007571864), ('warung', -0.04216513080213988), ('sedang', -0.020345450276158927), ('benar', 0.010775870243210724), ('Iya', -0.004660797118160924), ('jaga', -0.0016050147363996493)], 'neutral': [('dia', 0.0671255275621079), ('warung', 0.045547954338568376), ('sedang', 0.02247702920995326), ('Iya', 0.010434484961153503), ('benar', -0.008403867115747282), ('jaga', 0.0017940824552241063)], 'positive': [('dia', -0.007943960554536037), ('Iya', -0.0057736878429926), ('warung', -0.0033828235364285844), ('benar', -0.0023720031274634687), ('sedang', -0.002131578933794281), ('jaga', -0.0001890677188244776)]}
373;Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.;negative;[0.7607990721305844, 0.10790971522834425, 0.13129121264107124];negative;{'negative': [('tidak', 0.309200266155834), ('mengecewakan', 0.16616083726678654), ('kepiting', -0.09636844580088018), ('tapi', 0.08570704453959117), ('Kangkungnya', -0.04312266238936988), ('dikasih', -0.04282088565553004)], 'neutral': [('tidak', -0.17803483481810883), ('mengecewakan', -0.08576928082881255), ('kepiting', 0.08440015977188428), ('makan', -0.08212918539741093), ('dikasih', 0.06490531224355144), ('lumayan', -0.06172607985775842)], 'positive': [('tidak', -0.13671098479471536), ('mengecewakan', -0.09163403612366798), ('makan', 0.07697887775355426), ('dan', 0.06986834816340134), ('lumayan', 0.05796275987958073), ('saus', -0.04328493955126102)]}
262;Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.;positive;[0.018689484652965688, 0.004434581276743902, 0.9768759340702904];positive;{'negative': [('yang', -0.06788845966848119), ('dengan', -0.06627506542122175), ('buat', -0.06440319080354595), ('orang', 0.06093596762277762), ('enak', -0.04911521810243091), ('nyaman', -0.048994211020276075)], 'neutral': [('sangat', -0.05023135440484979), ('enak', -0.03375034238071553), ('yang', -0.03316011186891749), ('teman', -0.02892670334556818), ('ini', -0.028819372817867776), ('tempat', -0.025312141588797087)], 'positive': [('yang', 0.09278610734906), ('sangat', 0.09059434795839687), ('buat', 0.07745171671347718), ('enak', 0.07624536096603046), ('dengan', 0.07382981992424778), ('nyaman', 0.05853593152105914)]}
177;Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar;neutral;[0.11583473929565392, 0.8286203082355317, 0.05554495246881453];neutral;{'negative': [('terima', -0.1504803896990044), ('sebesar', 0.12729494674604677), ('rp', -0.0701752454094872), ('miliar', -0.024708146172632464), ('2018', -0.016659853631958568), ('sosial', 0.00482014770859078)], 'neutral': [('terima', 0.15150944623488877), ('sebesar', -0.12614766890313966), ('rp', 0.048558657424294084), ('2018', 0.03615501342249569), ('miliar', 0.030428182879877776), ('sosial', -0.00501270107421524)], 'positive': [('rp', 0.02161263390315524), ('2018', -0.019495790480957245), ('miliar', -0.005719041661761769), ('sebesar', -0.0011521404747575296), ('terima', -0.001027073814111959), ('44', 0.0002041597683664228)]}
560;Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite;negative;[0.9455259739427206, 0.025448823285635296, 0.02902520277164414];negative;{'negative': [('tidak', 0.16855977406222594), ('malah', 0.1385801952755943), ('jadi', 0.08529761930928231), ('saja', 0.08423877758146806), ('satu', -0.07645194056016506), ('Ini', 0.06613752367834587)], 'neutral': [('tidak', -0.11556980498058327), ('malah', -0.11316665244946635), ('Ini', -0.06246864647441009), ('jadi', -0.06082475155218284), ('saja', -0.04894738493042751), ('satu', 0.0489019552884268)], 'positive': [('tidak', -0.05917153369155533), ('yang', 0.04474013161194551), ('saja', -0.03966036303231446), ('Mantap', 0.03498539639702152), ('malah', -0.03171104420541409), ('jadi', -0.03002587364944151)]}
834;Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.;neutral;[0.6445257814195107, 0.3269625232426155, 0.028511695337873882];negative;{'negative': [('tidak', 0.4127236338401192), ('ini', 0.22587795193261193), ('dapat', -0.21792266301668609), ('sedang', -0.1098313731162743), ('aplikasi', -0.06011977237156131), ('Sore', 0.05641228806754657)], 'neutral': [('tidak', -0.38379900807892836), ('ini', -0.22505938565360012), ('dapat', 0.22367202085584506), ('sedang', 0.11182094658695996), ('Sore', -0.048446666023773954), ('dilakukan', 0.04295546817621402)], 'positive': [('tidak', -0.029641807923374956), ('aplikasi', 0.029235936468283406), ('Sore', -0.008138581328623025), ('dapat', -0.007630909111509436), ('saat', -0.003289462229631386), ('ini', -0.0016277420209129603)]}
619;Memang lemah kita ini aku juga penakut sebenarnya;negative;[0.43851933557189166, 0.3746574289377538, 0.1868232354903545];negative;{'negative': [('ini', 0.26792588704965464), ('kita', -0.2608842810059313), ('Memang', 0.05548794304357064), ('aku', -0.05409442995654802), ('penakut', 0.04325477383451231), ('sebenarnya', 0.041318431516925685)], 'neutral': [('ini', -0.2873764478904767), ('kita', 0.20638060787934007), ('juga', -0.08687101082277467), ('aku', 0.03707837898908018), ('Memang', -0.02648902523117199), ('lemah', 0.0016637243173923536)], 'positive': [('juga', 0.10993464966249805), ('kita', 0.053964979989329954), ('penakut', -0.04265593765302314), ('sebenarnya', -0.04020392987721311), ('Memang', -0.029436001409807695), ('ini', 0.018859713359304413)]}
874;Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini;positive;[0.5811762316080018, 0.08298329466324579, 0.3358404737287524];negative;{'negative': [('tidak', 0.2087299174495425), ('ke', -0.13837813279199032), ('kita', -0.13831832403486566), ('saja', 0.11598016537730656), ('mengecewakan', 0.11449462389336827), ('orang', 0.09598345438225249)], 'neutral': [('tidak', -0.1169199978118941), ('120', 0.06468822696997523), ('mengecewakan', -0.0588644385488556), ('saja', -0.055975374123694896), ('orang', -0.05465604172812638), ('rasa', -0.04519276283421868)], 'positive': [('tidak', -0.12379191329791181), ('sini', 0.10443172770781575), ('harganya', 0.09657325238645492), ('mengecewakan', -0.09201263643381674), ('makanan', 0.08703585773025761), ('dari', 0.07990288117465198)]}
336;Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.;positive;[0.24585416611456268, 0.02653957745425384, 0.7276062564311834];positive;{'negative': [('tidak', 0.1523246326742018), ('kota', -0.12182584548959502), ('peak', 0.11736610959636154), ('yang', -0.10088447858167233), ('dan', -0.09872828406620551), ('suasana', -0.09226388193923207)], 'neutral': [('sangat', -0.08797074581701333), ('dan', -0.050391476641692044), ('bagus', -0.045792302497691194), ('menuju', 0.04320056872291122), ('anda', -0.041062370722104585), ('yang', -0.03961229924885205)], 'positive': [('sangat', 0.17980224598106712), ('dan', 0.1538026646113429), ('yang', 0.14494311391230108), ('peak', -0.124520820569943), ('suasana', 0.11609364292461975), ('tidak', -0.11236623003109623)]}
