id;text;label;predict_proba;predict_label;lime_weights
411;Semmak bik hotel engkok nginep, pera' ejeleni ajelen soko, ediye bennyak sarah pelean kakananna, kenengngan se leber, ben masenneng;positive;[0.2043085937985534, 0.0677399264539927, 0.7279514797474536];positive;{'negative': [('leber', -0.22188797364138851), ('bik', -0.14865764451032965), ('pera', 0.13817558944046257), ('pelean', -0.13049549023779916), ('hotel', 0.11194051989961303), ('bennyak', 0.08739057578096612)], 'neutral': [('sarah', -0.127544997282026), ('ben', -0.10710890356630112), ('kakananna', -0.10664694890862565), ('leber', -0.08230558620670049), ('nginep', 0.07805175828858261), ('Semmak', 0.07264830560700543)], 'positive': [('leber', 0.2814485380916792), ('kakananna', 0.1777047972743874), ('ben', 0.1701452370176078), ('bik', 0.16559369975174013), ('nginep', -0.13474800768407913), ('pera', -0.11586094868119803)]}
729;Iye bhender, rua ajege berung.;neutral;[0.16981834303763416, 0.8176185976208552, 0.012563059341510753];neutral;{'negative': [('berung', -0.22593042165845956), ('Iye', -0.1679493046430898), ('ajege', 0.11682674793334434), ('bhender', 0.0872736414005685), ('rua', 0.048481832882189366)], 'neutral': [('berung', 0.244864571441995), ('Iye', 0.16363218771674665), ('ajege', -0.11850728674473641), ('bhender', -0.08772093344580191), ('rua', -0.04087709050683231)], 'positive': [('berung', -0.018934149783534977), ('rua', -0.007604742375357103), ('Iye', 0.004317116926343737), ('ajege', 0.0016805388113922595), ('bhender', 0.0004472920452333434)]}
373;Kangkongnga pendhanan tape kopeteng saos padangnga ma kocaba, engko' bi' laenna e bharri' kopeteng se kopong akherra engko' bi' laenna ta' ngakan kopeteng ban e pabali.;negative;[0.6024193150320112, 0.20542397317001576, 0.19215671179797308];negative;{'negative': [('ta', 0.2397722461413249), ('ban', -0.11783844492472681), ('tape', 0.08790987087963512), ('kocaba', 0.06593180218871005), ('kopeteng', -0.05249274243486525), ('engko', 0.03986567410469469)], 'neutral': [('ngakan', -0.09475998227021476), ('engko', -0.09169339185110865), ('ta', -0.09031826196063347), ('kopeteng', 0.09024386284316968), ('tape', -0.046972512821423486), ('bi', -0.04252747792310747)], 'positive': [('ta', -0.15647295442840453), ('ban', 0.10138886919736306), ('laenna', 0.061476542912540684), ('ngakan', 0.06029746053232762), ('kocaba', -0.0467480292998704), ('engko', 0.04608797971690448)]}
262;Kenengnganna e braga city walk se settong gheddung bik aston ben fave hotel, kenengngan riya nyaman sarah ghebey tor-catoran. Biddheng campor teh se ludhulluna engkok nginum bhuktena cek nyamanna, ecampor bik tellor massak saparo deddhi pendamping tor-catoran bik ca-kanca. Kenengngan se olle arokok tambe masenneng sambi menikmati pangabesen oreng-oreng se aje'genjir kaluar masok mal riya.;positive;[0.03858125076365473, 0.018178628102855178, 0.9432401211334901];positive;{'negative': [('bik', -0.1630973357278405), ('oreng', 0.09767130643644147), ('nyaman', -0.07453381760576977), ('pangabesen', -0.05460950277859492), ('se', -0.05364732153831969), ('settong', -0.0523989873081531)], 'neutral': [('nyaman', -0.05864105856698307), ('bik', -0.04475059984971391), ('se', -0.04359082667979796), ('riya', -0.039988274942474866), ('sarah', -0.03901222568101396), ('ben', -0.0338351493503715)], 'positive': [('bik', 0.21391891731365856), ('nyaman', 0.13436015443407953), ('se', 0.0981103269955966), ('ben', 0.08972389091960772), ('oreng', -0.0804839039435265), ('teh', 0.07626253163746814)]}
177;Gianyar tarema bhantoan sosial 2018 saraja rp 44,9 miliar.;neutral;[0.1091925035191307, 0.8550868865449817, 0.03572060993588773];neutral;{'negative': [('rp', -0.08894605864133656), ('tarema', 0.07463025330393436), ('miliar', -0.055811831859607655), ('2018', -0.047177128322760505), ('sosial', 0.008378887000193713), ('Gianyar', 0.0014198284358286762)], 'neutral': [('2018', 0.07157375174627974), ('tarema', -0.06787506028184931), ('rp', 0.06620289016431312), ('miliar', 0.06613299815388662), ('sosial', -0.010642303071658789), ('Gianyar', -0.0010982338784592926)], 'positive': [('2018', -0.024396623423519125), ('rp', 0.022743168477023283), ('miliar', -0.010321166294279075), ('tarema', -0.006755193022084832), ('sosial', 0.002263416071465071), ('Gianyar', -0.0003215945573694003)]}
560;Ariya salah settong conto toronan se tak aghuna. Benni jen aberri' manfaat ghebey bangsa tape jen deddhi bahaya ka bangsa! Mantap tangkep bhei angghuy uu ite;negative;[0.31931686652142954, 0.6236854817915787, 0.0569976516869916];neutral;{'negative': [('tak', 0.2793568429493498), ('settong', -0.26712336746276055), ('aberri', -0.12471958926688029), ('salah', -0.1124558042550331), ('bhei', 0.10379690124455743), ('deddhi', 0.10014635350084812)], 'neutral': [('tak', -0.26065429409343316), ('settong', 0.2459996390307432), ('aberri', 0.13688088763992462), ('Benni', 0.12238456501233638), ('tape', -0.08692696945881055), ('Ariya', -0.08397020345741725)], 'positive': [('ka', 0.03579199534135236), ('Mantap', 0.033478506571298146), ('bhei', -0.03144202014319808), ('aghuna', -0.02543894262277708), ('Benni', -0.025066700452148743), ('tak', -0.022795063037458447)]}
834;Sore kanca, bekto satiya ghik e lakonin pemeliharaan saengghe aplikasi tak bisa eyangghuy.;neutral;[0.9312762551249067, 0.04870251186698543, 0.020021233008107837];negative;{'negative': [('tak', 0.28588566538457777), ('satiya', 0.18872908827147125), ('ghik', 0.08078694169062622), ('kanca', -0.06898802093375386), ('bekto', -0.06246452780525581), ('bisa', 0.056534354110305406)], 'neutral': [('tak', -0.2056230366529859), ('satiya', -0.1686389707357918), ('bisa', -0.05613353492163897), ('bekto', 0.05063008004290702), ('ghik', -0.04499896118379373), ('saengghe', 0.04234252472838857)], 'positive': [('tak', -0.07907329861342148), ('aplikasi', 0.042676093292983205), ('kanca', 0.041344932658916554), ('eyangghuy', -0.036611359457143354), ('ghik', -0.03605072414746345), ('Sore', -0.031183064483475787)]}
619;Jhet tak kuat engkok bik bekna riya engkok tako'an kiya saongghuna;negative;[0.8400598285711446, 0.06942558472523098, 0.09051458670362453];negative;{'negative': [('tak', 0.3693603763491668), ('riya', 0.16687666516824198), ('bik', -0.11893221165076007), ('bekna', -0.07222946257021381), ('Jhet', 0.04723331666317093), ('an', 0.04233812793278674)], 'neutral': [('tak', -0.19006095353922942), ('riya', -0.12421688887038236), ('kiya', -0.0602370199642064), ('Jhet', -0.05932897148293402), ('engkok', 0.05105747939593414), ('kuat', 0.04062460588629438)], 'positive': [('tak', -0.1813667873923232), ('bik', 0.09717961109991861), ('kiya', 0.09244349283791728), ('kuat', -0.04882743080176727), ('riya', -0.04669067203658294), ('bekna', 0.03058601864439731)]}
874;Terakhir ka hanamasa regghena 120 ebhu per oreng. Tape puassa lebbi deri rua. Bisa ngalak kakanan sapuassa, tape rassana tak mengecewakan, penter-penter kita beih se aracik thibik. Mun penggemar dheghing sape paste senneng ka dinnak.;positive;[0.6024694880104928, 0.030118691493665934, 0.3674118204958411];negative;{'negative': [('tak', 0.25696044466791745), ('oreng', 0.13682022057098975), ('ka', -0.1332329540677174), ('senneng', -0.10258147102406491), ('paste', -0.10180472898319996), ('Tape', 0.09401794591947142)], 'neutral': [('tak', -0.07392555382547346), ('rassana', -0.06769465055057101), ('120', 0.04774926161136386), ('senneng', -0.04443338322962998), ('kakanan', -0.038793369274564865), ('oreng', -0.03851040418655596)], 'positive': [('tak', -0.2003441589065195), ('ka', 0.1417831850080741), ('senneng', 0.1299444092727653), ('oreng', -0.11107961948892621), ('rassana', 0.10188951664194332), ('paste', 0.08771743101271598)]}
336;Ghabay entar ka the peak jhat karassa jhau ongghu dari pusat kotta bandung ban aksessa se ba' maposang ban jalan kini' lu'-bilu'. Nangeng ba'na mase ta' kera nyasar amargha e sabban bilughan bada tandha nojjhu ka the peak. Kennenganna baghus ongghu ghabay ba'na se nyare pangabasan malem romantis, bik pamandhangan malem kotta se baghus ongghu.;positive;[0.24815530444387468, 0.054763999064594324, 0.6970806964915308];positive;{'negative': [('ba', 0.28884377402034067), ('ban', -0.21123872862036377), ('ta', 0.1379327203585872), ('kotta', -0.1153248934342932), ('bik', -0.08713642392735477), ('ka', -0.0807783630638991)], 'neutral': [('ongghu', -0.1344868856351214), ('na', -0.09152938533538788), ('malem', -0.037883843124739386), ('se', -0.03506955736440086), ('ka', -0.03373674619742669), ('jhat', 0.03143406989662595)], 'positive': [('ba', -0.2675013520180733), ('ban', 0.25841172285585307), ('na', 0.1433364661706454), ('ka', 0.13027147525526073), ('ongghu', 0.13004284277077505), ('ta', -0.10870032016328125)]}
464;kebun raya bogor bisa epadeddhi salah settong tojjhuen kennengngan wisata ;neutral;[0.08837872668602166, 0.7086455307789925, 0.20297574253498593];neutral;{'negative': [('settong', -0.14318236672189902), ('salah', -0.06021844089759353), ('bisa', 0.04345431929421831), ('tojjhuen', 0.030739534185645106), ('wisata', 0.02274394536657553), ('bogor', -0.012162085654337082)], 'neutral': [('kennengngan', -0.1758922206140563), ('settong', 0.16858172088208653), ('bogor', 0.1514498552399114), ('bisa', -0.09056119384429002), ('salah', 0.04424190017005882), ('raya', -0.04332526052030983)], 'positive': [('kennengngan', 0.1725819061121631), ('bogor', -0.13791864589870612), ('raya', 0.047634383619581465), ('bisa', 0.04731680220992498), ('tojjhuen', -0.03608611810213502), ('wisata', -0.03343368236165601)]}
