id;text;label;predict_proba;predict_label;lime_weights
411;Tukep dengan hotel aku bemalem, baya dengan menanjung pai, hong hetuh are tutu intihan penginan te, eka ji lapang, dengan mawi sanang;positive;[0.007203283434731529, 0.015835370588874617, 0.9769613459763942];positive;{'negative': [('dengan', -0.07514915479331162), ('hetuh', -0.040521452449439214), ('penginan', -0.031810211674843526), ('Tukep', -0.031183951174421458), ('eka', -0.027784128743849834), ('hotel', 0.022423667623024796)], 'neutral': [('dengan', -0.09898380081251923), ('tutu', -0.06454773925426047), ('penginan', -0.05523421141208683), ('te', -0.052645002618893696), ('eka', -0.0524875648033762), ('menanjung', 0.05192990752936806)], 'positive': [('dengan', 0.17583789038979147), ('hetuh', 0.08934113891607162), ('penginan', 0.08928268865619386), ('eka', 0.0803559248339569), ('tutu', 0.06603535220586795), ('menanjung', -0.05793408492508422)]}
729;Iyuh bujur, iye wayah tuh jaga warung;neutral;[0.6151920793964643, 0.35309047421478207, 0.031717446388753616];negative;{'negative': [('wayah', 0.23493395011682672), ('tuh', 0.22124823632541205), ('iye', -0.19935688148247746), ('warung', -0.1366055333594711), ('bujur', 0.10284506599571804), ('Iyuh', -0.009816369423363317)], 'neutral': [('iye', 0.23383730362504557), ('tuh', -0.228672697693289), ('wayah', -0.2117927113487121), ('warung', 0.14019838667100148), ('bujur', -0.12587318100216174), ('Iyuh', 0.015807811021189264)], 'positive': [('iye', -0.03448042214256829), ('wayah', -0.023141238768114497), ('bujur', 0.023028115006443875), ('tuh', 0.007424461367877167), ('Iyuh', -0.005991441597825863), ('warung', -0.003592853311530097)]}
373;Kangkung te sadang baya kepiting saus padang te mawi pehe atei ikei awi ji nengak kepiting ji kosong jatunti isi kejarian ikei diak kuman kepiting te malah melian nah.;negative;[0.8765093923003827, 0.030990823219648526, 0.09249978447996877];negative;{'negative': [('diak', 0.11571241922245876), ('jatunti', 0.07551681991833749), ('ji', -0.05583324225610765), ('atei', 0.05186940123697931), ('pehe', 0.044801230521538726), ('padang', 0.04211973711806025)], 'neutral': [('te', -0.0671145102033815), ('diak', -0.05164428612342055), ('jatunti', -0.04366120552496912), ('kepiting', 0.04264923549687567), ('nah', -0.030140660385641508), ('atei', -0.024417459532101553)], 'positive': [('diak', -0.07302789168779364), ('ji', 0.05199259247126825), ('jatunti', -0.04355238867234655), ('atei', -0.035788504641490304), ('kuman', 0.034100495264426475), ('Kangkung', 0.027951975314534066)]}
262;Eka melai braga city wall je ije gedung dengan aston tuntang fave hotel, eka jituh mangat akan hapumpung. Kopi inyampur teh ji haru puji aku mengkeme ternyata mangat tutu, nyampur dengan tanteluh setengah matang manjadi kawal bapander dengan kakawalan. Area je bebas merokok mawi dahang asyik sambil mite tempayahan kanih kate uluh balua tame mall jituh.;positive;[0.05605889265453746, 0.008534292667846142, 0.9354068146776163];positive;{'negative': [('dengan', -0.15949318054572204), ('mangat', -0.14390987628425222), ('puji', -0.07795981016461295), ('haru', 0.06702045507114668), ('jituh', 0.06406001818843701), ('teh', -0.0632451100241469)], 'neutral': [('mangat', -0.060366486163186184), ('dengan', -0.032526917829914674), ('jituh', -0.030535329307218813), ('tutu', -0.030490435053137418), ('tuntang', -0.023704198840149952), ('teh', -0.019770351270545758)], 'positive': [('mangat', 0.19644973952830527), ('dengan', 0.183052749974564), ('puji', 0.08461477703204547), ('teh', 0.07415043477702463), ('tuntang', 0.06789289555814754), ('haru', -0.057959625755776914)]}
177;Gianyar nerima pendohop sosial nyelu due ribu hanya walas sejumlah epat puluh epat milyar jalatien ratus juta rupiah;neutral;[0.05900445398842418, 0.9201240303282562, 0.02087151568331976];neutral;{'negative': [('epat', -0.07779438961503585), ('walas', -0.06103276870999792), ('nyelu', 0.04158696952960156), ('rupiah', -0.03292352889670453), ('nerima', 0.026838616825607182), ('ratus', -0.025826453486285445)], 'neutral': [('epat', 0.09093367351872989), ('walas', 0.06678925792119916), ('nyelu', -0.04823620794584617), ('rupiah', 0.037149437037808555), ('due', 0.03347346818386017), ('nerima', -0.027738023889554)], 'positive': [('epat', -0.012510390542851772), ('due', -0.009525748802403465), ('nyelu', 0.007451275948386752), ('walas', -0.005829738275037808), ('ribu', -0.005552798004814114), ('sosial', 0.004363420958970374)]}
560;Jituh na sala ije contoh generasi dia baguna, Dia mahin tege manfaat akan bangsa mahi jadi taluh je berbahaya akan bangsa!. Mantap jerat ih hapan UU ITE;negative;[0.8633902026582134, 0.09158567953385105, 0.04502411780793555];negative;{'negative': [('akan', -0.1843289089206691), ('dia', 0.18008946441975118), ('Dia', 0.17684907840720077), ('ih', 0.10827715691302056), ('Jituh', 0.10173086952404264), ('jadi', 0.1008154746709237)], 'neutral': [('dia', -0.1471455363600786), ('Dia', -0.1458174049959343), ('akan', 0.1430501811908119), ('Jituh', -0.09980041359581716), ('ih', -0.09148279403611229), ('jadi', -0.0812517956181774)], 'positive': [('dia', -0.038821345330417645), ('Dia', -0.03789727929293658), ('akan', 0.03432392093634118), ('jadi', -0.027362561157229907), ('Mantap', 0.025553108502747775), ('taluh', 0.021314206686559083)]}
834;Halemei sahabat, wayah tuh sedang inggawi pemeliharaan maka sampai tame.;neutral;[0.7599425046967233, 0.2079741909773882, 0.032083304325888386];negative;{'negative': [('tuh', 0.2290035952603428), ('wayah', 0.22429319865277494), ('tame', -0.08243953321164983), ('inggawi', -0.05519798039576182), ('Halemei', 0.042873677965334894), ('sampai', -0.02314635815185585)], 'neutral': [('tuh', -0.23255714000414332), ('wayah', -0.19489441520397785), ('tame', 0.0745353440443806), ('inggawi', 0.05211454612208179), ('maka', 0.029585650541977), ('Halemei', -0.028445014820538496)], 'positive': [('wayah', -0.029244312667806326), ('maka', -0.02663616852696946), ('sampai', 0.02087020641414991), ('Halemei', -0.014099487147289263), ('tame', 0.007952025922036999), ('tuh', 0.0037300198815905295)]}
619;Puna belemu itah tuh aku gin pemikeh sebujur nah;negative;[0.34853729614698176, 0.28883804092440846, 0.3626246629286096];positive;{'negative': [('itah', -0.22777576646430975), ('tuh', 0.13524610673491302), ('sebujur', 0.04305328537715276), ('nah', 0.0296415666673571), ('Puna', 0.02096557121321519), ('gin', -0.01807298699469887)], 'neutral': [('tuh', -0.19364838014726446), ('nah', -0.16032821305864006), ('itah', 0.13652150793595516), ('gin', -0.058718601285550946), ('pemikeh', 0.04778000512011244), ('aku', -0.01941143244376432)], 'positive': [('nah', 0.13077193426454523), ('itah', 0.09199767339340732), ('gin', 0.07671384775163781), ('pemikeh', -0.06286554755771723), ('tuh', 0.059049011080095484), ('sebujur', -0.0382819819553465)]}
874;Harian kan hanamasa rega te saratus dua puluh ribu per biti. Tapi puas te labih bara jite. Tau duan penginan sekelepah belai, tapi angat diak mawi kecewa te, pintar-pintar itah ih meramu kebuat. Amun penggemar daging sapi pasti rajin kan hetuh.;positive;[0.377113442589641, 0.1653121380034755, 0.4575744194068831];positive;{'negative': [('diak', 0.15870702189108377), ('kan', -0.11606843070079743), ('itah', -0.10396344893109387), ('ih', 0.0972762782890945), ('kebuat', -0.08473647292463812), ('te', 0.07537736570429664)], 'neutral': [('te', -0.19438764339909595), ('kan', 0.09432908889204088), ('diak', -0.08618117811393355), ('ih', -0.07747838900150082), ('saratus', 0.059850086027855666), ('rajin', -0.05854536107498645)], 'positive': [('hetuh', 0.10806088969044864), ('diak', -0.10135329854184007), ('te', 0.09390471639441797), ('penginan', 0.09242761233756419), ('rajin', 0.08438140551024342), ('puas', 0.07224664548682724)]}
336;Akan jalanan kan the peak puna angat kejau tutu bara bentuk kota bandung, tagal akses te ji rada mawi bingung dengan jalan ji berkelok-kelok. Baya ikau mungkin diak akan layang awi handak genep hung belokan tege tanda jalanan kan the peak. Eka mias kehalap akan ikau ji menggau suasana hamalem romantis, dengan eka tempayah hamalem kota ji menakjubkan.;positive;[0.1291812936500691, 0.04535916008961098, 0.82545954626032];positive;{'negative': [('ji', -0.1098750692013687), ('dengan', -0.1093542145027443), ('peak', 0.10839256418292224), ('kota', -0.0872196635777035), ('diak', 0.08156388924575571), ('akan', -0.06961051644010953)], 'neutral': [('ji', -0.06642645740851337), ('tutu', -0.05162869868402768), ('dengan', -0.05039992181051636), ('suasana', -0.04031462921332422), ('Eka', -0.03700521953023001), ('mias', -0.0355793738460339)], 'positive': [('ji', 0.16987651951328292), ('dengan', 0.15581666743893235), ('peak', -0.13200811796401776), ('mias', 0.10274951256895266), ('kota', 0.0974085884781237), ('suasana', 0.09483645230581576)]}
