id;text;label;predict_proba;predict_label;lime_weights
411;Caket ti hotel abdi ngendong, ngan ditempuh ku leumpang sampean, di dieu seueur pisan pilihan tuangeunna, tempat na lega, sareng nyenengkeun.;positive;[0.003965911275397007, 0.0034269336328119197, 0.9926071550917909];positive;{'negative': [('sareng', -0.0607781966363609), ('pilihan', -0.04787547782055116), ('hotel', 0.041633366087692296), ('dieu', -0.04021312694054059), ('di', -0.03809786889189321), ('tempat', -0.0340395279796893)], 'neutral': [('pisan', -0.06690568967201632), ('na', -0.0575403386785683), ('tempat', -0.05215726770975269), ('sareng', -0.05118984245934242), ('ngendong', 0.040224185516088015), ('dieu', -0.03820145531153353)], 'positive': [('sareng', 0.10288262112299097), ('pisan', 0.08058700537325325), ('na', 0.08025067182569742), ('tempat', 0.07594489940263356), ('dieu', 0.06785704360621486), ('lega', 0.05611660891435922)]}
729;Muhun leureus , anjeunna nuju jaga warung.;neutral;[0.03219972446672903, 0.9602070410188651, 0.0075932345144058425];neutral;{'negative': [('Muhun', -0.11373603568175408), ('warung', -0.05257907864779076), ('anjeunna', -0.050657128361607774), ('nuju', 0.03695681798211826), ('leureus', -0.0029321918396989772), ('jaga', -0.002110562127434063)], 'neutral': [('Muhun', 0.12737528211927487), ('warung', 0.06292699768352042), ('anjeunna', 0.05485534061383495), ('nuju', -0.0391915474957663), ('leureus', 0.0032041152464313523), ('jaga', 0.0024118760402890667)], 'positive': [('Muhun', -0.013639246437520668), ('warung', -0.010347919035729587), ('anjeunna', -0.004198212252227261), ('nuju', 0.0022347295136480915), ('jaga', -0.00030131391285498333), ('leureus', -0.0002719234067323653)]}
373;Kangkungna lumayan mung kepiting saos padangna nguciwakeun arurang dipasihan kepiting anu kopong ahirna arurang teu tuang kepitingna sareng dibalikkeun.;negative;[0.8074725406956896, 0.09698400791767892, 0.09554345138663137];negative;{'negative': [('teu', 0.2917691174241985), ('nguciwakeun', 0.16932855421491316), ('tuang', -0.08380418917564357), ('sareng', -0.081400631024556), ('mung', 0.07169890974458523), ('saos', 0.05748351754453409)], 'neutral': [('teu', -0.16421713287442086), ('kepiting', 0.0972392382800789), ('nguciwakeun', -0.09178481323182762), ('arurang', -0.08344865493125875), ('dipasihan', 0.07418089077831728), ('lumayan', -0.0732933709897187)], 'positive': [('teu', -0.1385541410138807), ('sareng', 0.11185582897429293), ('tuang', 0.09770056195969488), ('nguciwakeun', -0.08388157224487139), ('kepiting', -0.05840355505884853), ('dipasihan', -0.05762303242498228)]}
262;Lokasi di Braga City Walk anu sagedong sareng Aston jeung Fave Hotel, tempatna merenah pikeun nongkrong. Kopi campur jeung teh anu munggaran abdi nembean ngeunah pisan, dihijikeun sareng endog satengah mateung ngiringan ngobrol sareng rerencangan. Area bebas ngaroko langkung pikaresepeun bari ngarenjokeun pandangan jalma-jalma anu lebet sareng kaluar ti mall ieu.;positive;[0.012120853488424269, 0.00512835860987398, 0.9827507879017017];positive;{'negative': [('sareng', -0.21339900464183115), ('jalma', 0.07121270716670154), ('Kopi', -0.048692669448188876), ('tempatna', -0.041166797319214056), ('di', -0.036492839366427464), ('ti', -0.03502264949191395)], 'neutral': [('sareng', -0.09244665670285225), ('jeung', -0.05071957808530439), ('pisan', -0.04074307890211898), ('ngeunah', -0.03079027712578468), ('tempatna', -0.019739112263735207), ('anu', -0.017065090100497074)], 'positive': [('sareng', 0.3143404810256734), ('Kopi', 0.07478576563589047), ('pisan', 0.06951607757984314), ('tempatna', 0.06894889383952935), ('jalma', -0.06581279295285428), ('jeung', 0.05697206388692499)]}
177;Gianyar nampi bantosan sosial 2018 mangrup rp 44, 9 milyar;neutral;[0.08675146531296653, 0.8563166249048993, 0.05693190978213414];neutral;{'negative': [('rp', -0.068364937856689), ('2018', -0.04052732790883324), ('milyar', -0.023523230851759926), ('sosial', 0.02101214136864229), ('nampi', -0.002720620134894921), ('Gianyar', -0.0013051469667948034)], 'neutral': [('2018', 0.08228728788618703), ('milyar', 0.04171340089517474), ('sosial', -0.019771035814547446), ('rp', 0.0197027046057286), ('nampi', 0.008462615926423627), ('bantosan', 0.0011577448233961727)], 'positive': [('rp', 0.04871515048182729), ('2018', -0.04169208918459583), ('milyar', -0.01815887409058656), ('nampi', -0.005790142878531629), ('sosial', -0.0012087312825183347), ('44', -0.0004035377097807854)]}
560;Ieu mangrupikeun conto generasi anu teu aya gunana. Malah teu mangpaat keur bangsa tapi malah jadi hal bahaya pikeun bangsa! Hade tangkeup we make uu ite;negative;[0.9606444267757562, 0.033163378065617206, 0.0061921951586266346];negative;{'negative': [('teu', 0.2825252683492714), ('Ieu', 0.08243184139630443), ('gunana', -0.05290355471232455), ('hal', 0.04914516617717103), ('tapi', 0.047337354249002275), ('Hade', -0.035891197738439566)], 'neutral': [('teu', -0.23733245319868598), ('Ieu', -0.0754156076389822), ('gunana', 0.055267715624383554), ('tapi', -0.047931898824679936), ('hal', -0.04497845354159487), ('make', 0.032234795550801804)], 'positive': [('teu', -0.04525952083635855), ('Hade', 0.023419130853445318), ('we', -0.009442323459351299), ('jadi', -0.007995069270715093), ('Ieu', -0.007791305194015281), ('make', -0.007405818710464698)]}
834;Sonten rerencangan, ayeuna nuju dilakukeun pemeliharaan ku kituna aplikasi teu tiasa diakses.;neutral;[0.8372080113975902, 0.11765317943556708, 0.04513880916684283];negative;{'negative': [('teu', 0.3456017097527897), ('ayeuna', 0.2523096140242745), ('rerencangan', -0.10560236956257267), ('Sonten', 0.08058084785630835), ('aplikasi', -0.06626518273225714), ('ku', -0.06113777870779617)], 'neutral': [('teu', -0.2599983766854963), ('ayeuna', -0.24425307703214263), ('rerencangan', 0.07653498787538279), ('Sonten', -0.052500150224091206), ('kituna', 0.050779872850331184), ('tiasa', 0.04233926820061975)], 'positive': [('teu', -0.08719394875278141), ('aplikasi', 0.052814600433455164), ('Sonten', -0.03127615165607818), ('rerencangan', 0.028141038105167087), ('ku', 0.01997644505135947), ('kituna', -0.018419507570038848)]}
619;Saleresna lemah arurang teh abdi oge borangan aslina;negative;[0.4757895686700001, 0.3189028835673591, 0.2053075477626407];negative;{'negative': [('aslina', 0.08604811812069327), ('borangan', 0.07893778427364995), ('oge', -0.07334481369842792), ('arurang', 0.06394444242754642), ('teh', -0.043147886290168094), ('Saleresna', 0.031706979726304776)], 'neutral': [('arurang', -0.1514429172945446), ('oge', -0.049143374542994875), ('abdi', 0.027998679215549663), ('teh', -0.014903844929734589), ('borangan', -0.01479474279804049), ('Saleresna', -0.007655376071523322)], 'positive': [('oge', 0.12152822994898582), ('aslina', -0.0877304601114712), ('arurang', 0.08633655321590991), ('borangan', -0.06415050953781977), ('teh', 0.05743466220249478), ('abdi', -0.030681233028034518)]}
874;Terakhir ka hanamasa pangaosna 120 rebu / jalmi. Tapi puasna langkung ti eta. Tiasa nyandak tuangeun sapuasna, mung rasa teu nguciwakeun, pinter-pinter arurang we ngaracik nyalira. Upami penggemar daging sapi pasti resep ka dieu;positive;[0.21667406293570393, 0.04374255334574389, 0.739583383718552];positive;{'negative': [('teu', 0.21262465457100532), ('resep', -0.19277839551842307), ('nguciwakeun', 0.1376762396526955), ('nyalira', -0.1373666359046282), ('dieu', -0.1165588085316999), ('ti', -0.10716198943822174)], 'neutral': [('teu', -0.07229719783102632), ('120', 0.057852620554437864), ('Tapi', -0.05677583809281463), ('rasa', -0.05614926565160902), ('arurang', -0.05291381030770396), ('dieu', -0.05246531718548614)], 'positive': [('resep', 0.21389526898721123), ('nyalira', 0.1738967721977922), ('dieu', 0.16469931135617769), ('teu', -0.14359982263896834), ('tuangeun', 0.1311986686333253), ('nguciwakeun', -0.09529942942910387)]}
336;Kanggo dugi ka the peak tangtu karasa tebih pisan ti pusat kota bandung, sareng aksesna nu cekap ngabingungkeun sareng jalan alit bulak-belok. Mung anjeun manawi moal kasasar kusabab hampir unggal belokal ada signage ka the peak. Tempatna sae pisan kanggo anjeun nu milarian suasana wengi romantis, ku pamandangan wengi kota nu nyieun takjub.;positive;[0.010416313632846013, 0.0032185217951389775, 0.9863651645720148];positive;{'negative': [('sareng', -0.09622766586867713), ('peak', 0.06400452136175848), ('suasana', -0.05172096915313712), ('pisan', -0.049167311815077476), ('sae', -0.0477153200226372), ('kota', -0.04103200237657587)], 'neutral': [('pisan', -0.05639025600546891), ('sareng', -0.04156119562723283), ('sae', -0.02634657194252816), ('nu', -0.023091272493594907), ('anjeun', -0.020557719453216237), ('Tempatna', -0.01968739887670446)], 'positive': [('sareng', 0.1415953003088146), ('pisan', 0.11021501281014093), ('sae', 0.07777257859935141), ('peak', -0.07632398527053247), ('suasana', 0.07099677257078026), ('Tempatna', 0.06278562300505623)]}
464;Kebun raya bogor tiasa dijadikeun salah sahiji tujuan destinasi wisata;neutral;[0.04608682219295776, 0.8924182165622351, 0.061494961244807377];neutral;{'negative': [('salah', -0.05032151518201105), ('sahiji', -0.0502414178193478), ('destinasi', -0.023007556580904982), ('wisata', 0.018557660454297038), ('bogor', -0.016474344815326152), ('dijadikeun', 0.011246253333241366)], 'neutral': [('bogor', 0.05847169357268177), ('destinasi', 0.054143637142879855), ('raya', -0.051214903350595975), ('tujuan', 0.03328125958044138), ('sahiji', 0.025273714905778167), ('salah', 0.0251737709404826)], 'positive': [('bogor', -0.04275099027068785), ('raya', 0.04080393103537142), ('destinasi', -0.03249958742380243), ('tujuan', -0.03203802700736564), ('salah', 0.02416270977452041), ('sahiji', 0.023315796917931286)]}
254;The peak tempatna caket Lembang, dataran tinggi anu tiis di Bandung sareng lokasi anu sae pisan tapi jalan pikeun ngahontal tempat ieu kalangkung ku tikungan anu tajam sareng terjal, henteu disarankeun pikeun nyetir keur hujan sareng ti wengi. Di the peak aya restoran anu pamandangan kota Bandung anu endah ti bukit, harga tuangeun awis pisan sareng teu cocog.;negative;[0.025346731134642732, 0.0018121828240659622, 0.972841086041291];positive;{'negative': [('sareng', -0.2743817867668806), ('ti', -0.07391676504274748), ('peak', 0.07289120346832291), ('teu', 0.07134188501483123), ('sae', -0.06599686538618495), ('cocog', -0.06581028482082354)], 'neutral': [('sareng', -0.04144602791770644), ('pisan', -0.03299515833859954), ('sae', -0.013933818326695825), ('tempat', -0.013120099841203369), ('tempatna', -0.012316897633285511), ('cocog', -0.011506408742778675)], 'positive': [('sareng', 0.3204509367961526), ('pisan', 0.09972061550780789), ('sae', 0.0861723600972173), ('cocog', 0.08164446057875543), ('peak', -0.0751758885511146), ('henteu', -0.06520970005277656)]}
618;Abdi kapok nganggo jasa lion air;negative;[0.09064186019160263, 0.5639938582370306, 0.34536428157136634];neutral;{'negative': [('air', -0.04909456592297007), ('nganggo', -0.04365802527459233), ('jasa', -0.031490696608358654), ('Abdi', 0.004810695906561621), ('lion', -0.0015049319665761144), ('kapok', -0.0009421082685453482)], 'neutral': [('jasa', -0.19915109573813844), ('nganggo', 0.12865780445556912), ('air', -0.0866821719613823), ('Abdi', 0.03858200288330277), ('lion', 0.0011829633748804394), ('kapok', -2.2257295218435974e-06)], 'positive': [('jasa', 0.23064179234649673), ('air', 0.13577673788435204), ('nganggo', -0.08499977918097645), ('Abdi', -0.04339269878986429), ('kapok', 0.0009443339980672731), ('lion', 0.00032196859169566925)]}
477;Seueur perkawis nu tiasa arurang lakukeun kanggo ngeusi waktos luang.;neutral;[0.40343028834664324, 0.24273610179978503, 0.35383360985357154];negative;{'negative': [('kanggo', -0.1883685776044944), ('waktos', 0.1622608598313059), ('arurang', 0.07834001496184027), ('tiasa', -0.0695027501360231), ('perkawis', 0.06037937095302011), ('Seueur', 0.05973322966539619)], 'neutral': [('arurang', -0.17354622559038155), ('perkawis', 0.13032761318732286), ('Seueur', -0.10136240860716972), ('nu', -0.09752183656028324), ('tiasa', 0.06896352606004247), ('waktos', -0.060938486959669545)], 'positive': [('kanggo', 0.19163459386928533), ('perkawis', -0.19140341136107616), ('nu', 0.12731700662045592), ('waktos', -0.10304422950403093), ('arurang', 0.09270963383921384), ('Seueur', 0.039505349495721195)]}
648;Beuki apatis ngalaporkeun perkawis siga kieu. Kusabab nepi minggon kamari angger keneh teu acan didamelan. Janji-janji hungkul wae.;negative;[0.9052193025734416, 0.09096972384258403, 0.0038109735839745185];negative;{'negative': [('teu', 0.20256810431375913), ('wae', 0.15842798216037932), ('kamari', -0.13525484698825857), ('kieu', 0.11273529426322614), ('acan', 0.07795137803439205), ('Beuki', -0.06752407157102325)], 'neutral': [('teu', -0.19399347653625892), ('wae', -0.15147522559565357), ('kamari', 0.13741560846243348), ('kieu', -0.11074629547126284), ('acan', -0.07623476719248075), ('Beuki', 0.06836467625210076)], 'positive': [('teu', -0.00912891913946495), ('wae', -0.007402774279531829), ('hungkul', -0.0051984749557985755), ('kamari', -0.0026780142471068084), ('Janji', 0.0025411296907745296), ('janji', 0.0022876203982030744)]}
88;Pangaos salangit porsi sauprit teu jangji deui abdi sumping nu kadua kali. Pasakanna teu beda jauh ti ibu abdi dong!;negative;[0.785524257558278, 0.1445055104589881, 0.0699702319827338];negative;{'negative': [('teu', 0.6129356457354579), ('ibu', -0.09846050439591365), ('ti', -0.0939539862876273), ('salangit', 0.07278539686676151), ('sumping', -0.05135236342432881), ('jauh', 0.03777755648679586)], 'neutral': [('teu', -0.4441467223479049), ('ibu', 0.14190957302887044), ('ti', 0.06304727008494328), ('salangit', -0.04751586367002101), ('porsi', -0.04288282708542074), ('Pangaos', -0.0425544217639615)], 'positive': [('teu', -0.16924976299619157), ('porsi', 0.07727578056979521), ('ibu', -0.04723852477535313), ('kadua', 0.043982670575419026), ('beda', 0.03975021195842452), ('jauh', -0.0355018561944873)]}
87;Anyar jeung ayaan, 5 sekat pituangeun kotak emam yooyee kotak bekel anti bocor 590;neutral;[0.7692248530041861, 0.14023106230565638, 0.09054408469015746];negative;{'negative': [('emam', 0.17189926154082805), ('jeung', 0.11735500936945965), ('pituangeun', -0.08185034490663082), ('ayaan', 0.06958349719959356), ('Anyar', 0.03805205069858687), ('bocor', 0.0022359599032509723)], 'neutral': [('jeung', -0.1769857021957951), ('emam', -0.11919034984146663), ('pituangeun', 0.05581092019391838), ('ayaan', -0.036308132965453384), ('Anyar', -0.027128617177787685), ('bocor', -0.0022208929669847214)], 'positive': [('jeung', 0.05952707672162593), ('emam', -0.05278185094753564), ('ayaan', -0.03335151396431581), ('pituangeun', 0.02596508176205009), ('Anyar', -0.010980961992598239), ('bekel', 0.0010075966103201266)]}
462;Teu ngarti euy kunaon resto ieu calik dina peringkat 12 ti 1800an resto nu aya di jakarta. Pangaosna awis! Lokasina nyumput, sareng rasa tuangeunna oge biasa wae. Tong percanten teuing ku review anu nyesatkeun.;negative;[0.8258625027502664, 0.01237760902238456, 0.16175988822734919];negative;{'negative': [('Teu', 0.20649012381645668), ('wae', 0.17237266731797415), ('resto', -0.15839423804179767), ('biasa', 0.1483880335905987), ('percanten', 0.14153209140678194), ('sareng', -0.1322667564879413)], 'neutral': [('teuing', -0.04262431296331504), ('Teu', -0.04134963828083579), ('wae', -0.033753155459561514), ('dina', 0.03165234507915412), ('ieu', -0.028948242922194722), ('kunaon', -0.027320940007868624)], 'positive': [('Teu', -0.16216206000791653), ('resto', 0.15901585700195575), ('sareng', 0.15886700259533024), ('wae', -0.14096458371869977), ('biasa', -0.1237968724301553), ('awis', -0.11797058611784446)]}
500;Ledakan dina protes di Afghanistan nelasan 68 jalma;neutral;[0.07727358141955622, 0.854167929069402, 0.06855848951104175];neutral;{'negative': [('dina', -0.3854027894075979), ('jalma', 0.23707422052778546), ('di', -0.09522975370852173), ('protes', 0.010226560961908281), ('Ledakan', 0.005099894125117719), ('Afghanistan', 0.004956479729417247)], 'neutral': [('dina', 0.5569759024822388), ('jalma', -0.09232925173402041), ('di', -0.053104312160074246), ('protes', -0.004178321395552444), ('68', -0.002724916540516957), ('Afghanistan', 0.0010123991471796307)], 'positive': [('dina', -0.17177404575354235), ('di', 0.1481431728375816), ('jalma', -0.1451605858622219), ('protes', -0.006389045167011408), ('Afghanistan', -0.006123265646683644), ('68', 0.004816056305333871)]}
627;Abdi nganjangan ka restoran eta sareng rerencangan abdi. Rerencangan abdi seueurna reuwas ningali pamandangan nu endah pisan dina dinten wengi. Abdi kasempetan nyobian steak imporna, raos pisan komo saosna. Mmm raos. Upami aya kasempetan abdi hoyong nganjang deui ka dinya.;positive;[0.007346745532511166, 0.013000753174787133, 0.9796525012927015];positive;{'negative': [('raos', -0.06988425317986782), ('sareng', -0.0331540208596573), ('pisan', -0.03175296336557331), ('dina', -0.019973171742057476), ('pamandangan', -0.01942948575600467), ('abdi', 0.018482372745250508)], 'neutral': [('pisan', -0.12572838169873235), ('raos', -0.12391997300098107), ('sareng', -0.04570909172148011), ('dina', 0.03447920000515258), ('ningali', -0.03347992546658368), ('nyobian', -0.025200486730451326)], 'positive': [('raos', 0.1950638444136243), ('pisan', 0.1599206391714077), ('sareng', 0.07949857984033362), ('abdi', -0.047085171165527864), ('pamandangan', 0.04144644641191284), ('nyobian', 0.03978074001997899)]}
