id;text;label;predict_proba;predict_label;lime_weights
411;Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake;positive;[0.01097606455263567, 0.043968955760996346, 0.9450549796863683];positive;{'negative': [('kene', -0.03433594832379174), ('panggonane', -0.03389596642242282), ('ing', -0.028058628964636078), ('amba', -0.02400723111468401), ('lan', -0.020999730153490166), ('hotelku', 0.02053693193557704)], 'neutral': [('tenan', -0.2033802371798625), ('panggonane', -0.13084178217179507), ('mlaku', 0.12456604363805077), ('lan', -0.10755061189707403), ('amba', -0.08694367107937963), ('panganane', -0.0824765910802893)], 'positive': [('tenan', 0.205048496134407), ('panggonane', 0.16655685875644002), ('lan', 0.12989652838723392), ('amba', 0.11088386910367365), ('mlaku', -0.10623455767551518), ('kene', 0.0953838277611787)]}
729;Iya bener, deknen lagi jaga warung.;neutral;[0.05026591865520627, 0.9422537078234505, 0.0074803735213434365];neutral;{'negative': [('warung', -0.06243994670137894), ('deknen', -0.05020820313015018), ('Iya', -0.03332945569177147), ('lagi', 0.01306774149306668), ('bener', -0.002535379671018916), ('jaga', -0.0008379209896238347)], 'neutral': [('warung', 0.07333652520676716), ('deknen', 0.04734320356377865), ('Iya', 0.044304843869758206), ('lagi', -0.012919505607995806), ('bener', 0.005452508285792115), ('jaga', 0.0011603634695901087)], 'positive': [('Iya', -0.01097538817798676), ('warung', -0.010896578505388098), ('bener', -0.0029171286147730143), ('deknen', 0.002864999566371484), ('jaga', -0.00032244247996629207), ('lagi', -0.00014823588507075294)]}
373;Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.;negative;[0.7183891525853573, 0.10450440904430676, 0.1771064383703359];negative;{'negative': [('ora', 0.3227693685306607), ('nguciwakake', 0.12971905569226172), ('akhir', -0.09817746983373271), ('dhewe', -0.0805843643931079), ('nanging', 0.07741774276750825), ('sing', -0.04591021070712816)], 'neutral': [('ora', -0.15274452774450836), ('akhir', 0.0944447454443318), ('mangan', -0.08949101929378404), ('lan', -0.07492668834175521), ('lumayan', -0.07100139501303408), ('yuyu', 0.04708595291868238)], 'positive': [('ora', -0.1761949646136091), ('lan', 0.09812635924487223), ('dhewe', 0.0964514712977896), ('mangan', 0.09343183295741153), ('nguciwakake', -0.08157205441166468), ('yuyu', -0.05369112385009256)]}
262;Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.;positive;[0.03821103768700281, 0.00473763910617583, 0.957051323206821];positive;{'negative': [('karo', -0.19866523996652852), ('iki', 0.13100029448771283), ('kanca', -0.08831712819985854), ('sing', -0.07135473507990218), ('enak', -0.0713161028658303), ('nang', -0.06392489017787281)], 'neutral': [('karo', -0.06348188453824724), ('banget', -0.05763497955919716), ('iki', -0.052282816441436473), ('wong', 0.04115241695967644), ('kanca', -0.039993892024599235), ('enak', -0.038399576623412104)], 'positive': [('karo', 0.2567698956966552), ('kanca', 0.12268422920947636), ('banget', 0.10556582411593626), ('enak', 0.10444126491877827), ('sing', 0.08742026273370908), ('iki', -0.08295275094773852)]}
177;Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat;neutral;[0.1391282622682796, 0.8166580859933046, 0.044213651738416244];neutral;{'negative': [('rp', -0.12035327755717043), ('milyat', -0.057866498004061816), ('2018', 0.04121577481521551), ('sosial', 0.018913900115456968), ('Gianyar', -0.0006614605652458108), ('bantuan', -0.0003761185499178681)], 'neutral': [('rp', 0.08730415938351141), ('milyat', 0.0801142317342374), ('2018', -0.020072504866032494), ('sosial', -0.016482988828922476), ('bantuan', 0.0004851143781795597), ('Gianyar', 0.00048152428438004614)], 'positive': [('rp', 0.03306376200139332), ('milyat', -0.02224628006362806), ('2018', -0.021116049548933986), ('sosial', -0.0024224396677899078), ('9', -0.0003299934571513402), ('gedene', 0.0002098280523494595)]}
560;Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite;negative;[0.9656669471097445, 0.031246217419134695, 0.0030868354711207618];negative;{'negative': [('malah', 0.14831706686353213), ('ora', 0.12642814832270632), ('Ora', 0.126326886286313), ('siji', -0.10161226107948618), ('ae', 0.0978986437039303), ('Iki', 0.07260960909683893)], 'neutral': [('malah', -0.13159911155011247), ('Ora', -0.11381492495065908), ('ora', -0.11355015038168288), ('siji', 0.09716613102803272), ('ae', -0.08812898514156522), ('Iki', -0.07053103292018156)], 'positive': [('malah', -0.01882038364743907), ('ora', -0.014881576319998658), ('Ora', -0.014457747182277624), ('sing', 0.012221781558319437), ('ae', -0.0119561256286371), ('salah', 0.00986894990065242)]}
834;Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.;neutral;[0.9717863680468408, 0.022383873622939202, 0.005829758330219937];negative;{'negative': [('ora', 0.21171364936819476), ('iki', 0.13698436869666422), ('aplikasi', -0.06148556908290823), ('Sore', 0.04921645907995104), ('dadi', 0.04317382792913575), ('lagi', -0.012652526422108856)], 'neutral': [('ora', -0.17513875575622456), ('iki', -0.12478731470815906), ('aplikasi', 0.03680276071827544), ('Sore', -0.03640989812224353), ('dadi', -0.029352826300237167), ('lagi', 0.014688407701971438)], 'positive': [('ora', -0.03641429054689016), ('aplikasi', 0.024747426157561148), ('dadi', -0.013743383356972646), ('Sore', -0.012718264414054563), ('iki', -0.011985552797480037), ('wektu', -0.003284319343198696)]}
619;Tenan ringkih dhewe iki aku uga jiden saktenane;negative;[0.5709685893191563, 0.015227416037722869, 0.41380399464312095];negative;{'negative': [('iki', 0.31949264729980886), ('uga', -0.2588799148009331), ('jiden', 0.19613206524807547), ('dhewe', -0.13943782280516281), ('Tenan', -0.06546469305357812), ('aku', 0.030826010930860667)], 'neutral': [('Tenan', -0.13385107513856087), ('iki', -0.10362716808076479), ('uga', -0.04282352004565715), ('jiden', 0.04141072240166019), ('aku', -0.02288337903246977), ('saktenane', 0.002023381805688127)], 'positive': [('uga', 0.3016966863284353), ('jiden', -0.23757347489670216), ('iki', -0.2159055103550077), ('Tenan', 0.1992854882183374), ('dhewe', 0.1379677403291462), ('aku', -0.00791832985788654)]}
874;Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene;positive;[0.6364392202627346, 0.20487785056544533, 0.1586829291718198];negative;{'negative': [('ora', 0.2589263633568841), ('ae', 0.20498316029507696), ('120', -0.09709473234381763), ('nyang', -0.0938984628559933), ('dewe', -0.08639953236799977), ('luwih', 0.07230603415139207)], 'neutral': [('ora', -0.1948448762193418), ('ae', -0.1588099646934793), ('panganan', -0.10287545373655783), ('nyang', 0.09631895277180064), ('120', 0.09426412165643515), ('wong', 0.08746652916913786)], 'positive': [('ora', -0.099034373455953), ('regane', 0.08660854096342409), ('ae', -0.06982255751499787), ('mrene', 0.05838551347057505), ('daging', 0.04980795949425943), ('panganan', 0.04523253360518062)]}
336;Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.;positive;[0.014600827848134731, 0.0014588796179325323, 0.9839402925339328];positive;{'negative': [('apik', -0.11842646009672265), ('ing', -0.07833229291389457), ('peak', 0.05728532344151436), ('banget', -0.05538379720951489), ('lan', -0.05412120806319047), ('kutha', -0.04923861540511823)], 'neutral': [('apik', -0.040528548551669256), ('banget', -0.03434159719496247), ('lan', -0.025131471574304946), ('tenan', -0.024807472872056414), ('Panggonane', -0.01840313723912384), ('bakal', 0.011392714502593585)], 'positive': [('apik', 0.1606120186209965), ('banget', 0.0908583711951653), ('ing', 0.08390478583351056), ('lan', 0.08152606549353272), ('Panggonane', 0.06567222601926166), ('peak', -0.062291760133738154)]}
