id;text;label;predict_proba;predict_label;lime_weights
411;Dakek jo hotel wak manginap, hanyo ditampuah jo jalan kaki, di siko banyak bana pilihan makanannyo, tampek nan lueh, dan manyanangan;positive;[0.06615649610140481, 0.012734654457567175, 0.9211088494410281];positive;{'negative': [('jo', -0.24333864990076248), ('hotel', 0.1265086636228909), ('hanyo', 0.1204162958945736), ('manyanangan', -0.08761884749418519), ('di', -0.08699219284574138), ('siko', -0.08481836525107296)], 'neutral': [('bana', -0.0605441531976491), ('tampek', -0.05381162985041749), ('jo', -0.04939905026692134), ('dan', -0.04153159915287219), ('makanannyo', -0.038382680619869186), ('jalan', 0.029102348623360745)], 'positive': [('jo', 0.30106464113592224), ('manyanangan', 0.12902133010806352), ('siko', 0.1258977231016134), ('hotel', -0.11925073586667871), ('lueh', 0.11891328923382113), ('hanyo', -0.11837546914547606)]}
729;Iyo batua, nyo sadang jago kadai.;neutral;[0.06045843890612987, 0.8939744664577505, 0.045567094636119486];neutral;{'negative': [('kadai', -0.13596748679843632), ('batua', 0.019871895224622276), ('nyo', -0.016856150367866116), ('sadang', 0.012709302847143722), ('Iyo', 0.0025361981275451905), ('jago', -0.001036782800232485)], 'neutral': [('kadai', 0.1860263544782641), ('nyo', -0.03043933739321162), ('batua', -0.014498898574676771), ('Iyo', 0.011596608754120791), ('sadang', 0.005809184662138423), ('jago', 0.00114466093946885)], 'positive': [('kadai', -0.05005886767982803), ('nyo', 0.04729548776107754), ('sadang', -0.0185184875092821), ('Iyo', -0.014132806881666042), ('batua', -0.00537299664994536), ('jago', -0.00010787813923633494)]}
373;Kangkuangnyo lumayan tapi kapitiang saus padangnyo mangecewaan kami diagiah kapitiang yang kopong akhiar kami ndak makan kapitiang dan dibaliakan.;negative;[0.7295062779592671, 0.14192332147571762, 0.12857040056501548];negative;{'negative': [('ndak', 0.29405810916808184), ('tapi', 0.10047097680600378), ('kapitiang', -0.0869683493170458), ('mangecewaan', 0.06192045547269123), ('yang', -0.06062359072401603), ('saus', 0.053001160650437994)], 'neutral': [('ndak', -0.16740587587140746), ('kapitiang', 0.1612567994102066), ('makan', -0.08493845554686416), ('tapi', -0.06322933080653485), ('lumayan', -0.05075717177120886), ('dan', -0.043423973287917174)], 'positive': [('ndak', -0.1344087307497384), ('kapitiang', -0.07833681821267234), ('lumayan', 0.07306864367023289), ('makan', 0.0671470787995869), ('dan', 0.061957408788838056), ('saus', -0.06149273890953728)]}
262;Batampek di braga city walk nan ciek gedung jo aston dan fave hotel, tampek ko nyaman bana untuak kumpua-kumpua. Kopi campua teh nan baru patamo kali wak cubo kironyo lamak bana, ditambah jo talua satangah masak jadi pandampiang maota jo kawan-kawan. Area nan bebas rokok samakin sero sambia manikmati pamandangan urang lalu-lalang nan kalua masuak mal ko.;positive;[0.0050319281918084265, 0.0017832581158581564, 0.9931848136923335];positive;{'negative': [('jo', -0.07336812966444393), ('lamak', -0.037239396521708226), ('nan', -0.031833102426726885), ('Kopi', -0.030271805241709214), ('teh', -0.027207311332221183), ('hotel', 0.023254223029526244)], 'neutral': [('bana', -0.04064306876566284), ('lamak', -0.03298623195040597), ('nan', -0.03212908324439612), ('jo', -0.031738526492834186), ('tampek', -0.02449222856210999), ('samakin', 0.01919021934699982)], 'positive': [('jo', 0.09981613528540903), ('lamak', 0.06397498175889568), ('nan', 0.058358576531250185), ('Kopi', 0.04638245653724395), ('nyaman', 0.04283619702611077), ('sambia', 0.03979470893091786)]}
177;Gianyar tarimo bantuan sosial 2018 sagadang rp 44, 9 miliar;neutral;[0.06729901114388347, 0.8929742257789139, 0.0397267630772029];neutral;{'negative': [('tarimo', -0.12543961011204313), ('sagadang', 0.0939713255305229), ('rp', -0.06462058429806716), ('miliar', -0.028197008486070187), ('2018', -0.024990651938771445), ('sosial', 0.005118950174542231)], 'neutral': [('tarimo', 0.1322560843678815), ('sagadang', -0.09194968487344594), ('rp', 0.04535584842019235), ('2018', 0.04326240143047707), ('miliar', 0.03270046667863634), ('sosial', -0.006140667587838831)], 'positive': [('rp', 0.01926473587787484), ('2018', -0.018271749491705697), ('tarimo', -0.006816474255838386), ('miliar', -0.004503458192565956), ('sagadang', -0.002021640657077019), ('sosial', 0.0010217174132966154)]}
560;Iko salah ciek contoh generasi yang ndak baguno. Bukan malah bamanfaat untuak bangsa tapi malah jadi suatu nan babahayo dek bangsa! Mantap tangkok se pakai uu ite;negative;[0.8977586769922188, 0.07256439244932937, 0.029676930558451928];negative;{'negative': [('ndak', 0.23776770396831565), ('malah', 0.22850053049965127), ('Bukan', -0.1520614627327347), ('Iko', 0.13142071083540846), ('se', 0.13042228140405737), ('ciek', -0.1205916103340799)], 'neutral': [('malah', -0.19870364746081512), ('ndak', -0.19227767183677724), ('Bukan', 0.14583527830108475), ('Iko', -0.12109492049946208), ('ciek', 0.09982574920276527), ('jadi', -0.0918019031999228)], 'positive': [('ndak', -0.054415170039062), ('se', -0.04737224042139796), ('Mantap', 0.034805967660931525), ('malah', -0.03343773906457332), ('salah', 0.022908477392594762), ('nan', 0.022135631333866368)]}
834;Sore konco, kini ko sadang dilakuan pamaliharoan sahinggo aplikasi ndak dapek diakses.;neutral;[0.9495401139395391, 0.043563082150877515, 0.006896803909583513];negative;{'negative': [('ndak', 0.3010529289446817), ('kini', 0.22035138095626142), ('ko', 0.13308837178254593), ('dapek', -0.1291382639862008), ('aplikasi', -0.06630318903529375), ('Sore', 0.05763513934608641)], 'neutral': [('ndak', -0.2661762318804758), ('kini', -0.2035086309545748), ('dapek', 0.13832918352509976), ('ko', -0.12836054592482243), ('Sore', -0.04760834968674697), ('aplikasi', 0.04026511721558783)], 'positive': [('ndak', -0.03487669706420574), ('aplikasi', 0.02603807181970587), ('kini', -0.01684275000168672), ('Sore', -0.010026789659339395), ('dapek', -0.009190919538899013), ('ko', -0.004727825857723513)]}
619;Emang lamah awak ko den panakuik lo subananyo;negative;[0.8109764601146662, 0.15719232269024921, 0.0318312171950849];negative;{'negative': [('den', 0.34510712228830864), ('ko', 0.21397381002322297), ('subananyo', 0.11655608265815001), ('Emang', -0.11235167421834644), ('lo', -0.07834849135591686), ('awak', -0.0658065696572715)], 'neutral': [('den', -0.33078883025628614), ('ko', -0.21105320419555917), ('Emang', 0.12179218848097192), ('subananyo', -0.11601875625472079), ('awak', 0.07312315155556229), ('lo', 0.059969511714429775)], 'positive': [('lo', 0.018302207567260666), ('den', -0.014398388977848052), ('Emang', -0.009533782451900466), ('awak', -0.007318600599703184), ('ko', -0.002985973722391621), ('panakuik', 0.0013707268761497385)]}
874;"Tarakir ka hanamasa haragonyo 120 ribu / urang. Tapi pueh labiah dari itu. Bisa ambiak makanan sapuehnyo, tapi raso ndak mangacewaan, pandai-pandai awak se maracik surang. Kalau penggemar dagiang jawi pasti suko ka siko
";positive;[0.5387166160232598, 0.08303121084489057, 0.37825217313184956];negative;{'negative': [('ndak', 0.19747165099841282), ('ka', -0.14864338065143964), ('se', 0.14071040918446964), ('pueh', -0.129593669234588), ('mangacewaan', 0.10769267440389903), ('urang', 0.10628795935995873)], 'neutral': [('ndak', -0.09547568257776728), ('120', 0.06815686548254966), ('labiah', -0.06090126765316208), ('raso', -0.0576083658348876), ('urang', -0.05621964357018038), ('mangacewaan', -0.053958761292387)], 'positive': [('pueh', 0.13863044525090454), ('haragonyo', 0.13775379881132788), ('siko', 0.12569784981518814), ('pandai', -0.12446551952790183), ('ndak', -0.11248080510057987), ('se', -0.10684102417899631)]}
336;Untuak manuju ka the peak memang taraso sangaik jauah dari pusat kota bandung, dan aksesnyo agak mambinguangan dan jalan ketek bakelok-kelok. Tapi wak mungkin ndak ka tasasek dek hampia di tiok pambelokan ado signage ka the peak. Tampeknyo sangaik ancak untuk wak yang mancari suasana malam romantis, jo pamandangan malam kota yang manakjubkan.;positive;[0.18120855744095363, 0.027390446200977296, 0.7914009963580689];positive;{'negative': [('ndak', 0.1283004662516619), ('peak', 0.12722163013719204), ('ka', -0.12329614499990167), ('ancak', -0.12218212639364906), ('dan', -0.102257149814527), ('jo', -0.09532999285417841)], 'neutral': [('sangaik', -0.10521160130800405), ('dan', -0.0599310131958464), ('ancak', -0.05370783755711492), ('malam', -0.044568395163316205), ('ka', 0.038991297768610336), ('Tampeknyo', -0.0347577272931479)], 'positive': [('sangaik', 0.17985371108315426), ('ancak', 0.15956935518922172), ('peak', -0.15479106362274322), ('dan', 0.14150144634266984), ('Tampeknyo', 0.10329566162716253), ('jo', 0.09930223535240278)]}
