id;text;label;predict_proba;predict_label;lime_weights
411;Jonok tu hotel hu marborngin, holan mardalan pat do, dison godang hian siallangon na lao pilliton, ingananna bidang, dohot pasonanghon roha.;positive;[0.20190815843856771, 0.23906290760630186, 0.5590289339551303];positive;{'negative': [('hotel', 0.1615643427667658), ('dohot', -0.11545332239780226), ('bidang', -0.10694140885951477), ('ingananna', -0.08705977001802115), ('dison', -0.08184668298492878), ('hian', 0.07580256429264698)], 'neutral': [('hian', -0.21836215288012914), ('mardalan', 0.1496233564356131), ('marborngin', 0.12422787625448123), ('roha', -0.10079799794353962), ('hotel', -0.08806699039141852), ('dohot', -0.08348107252081452)], 'positive': [('dohot', 0.19368228108481253), ('bidang', 0.17244893516498017), ('hian', 0.1410158440495171), ('mardalan', -0.13906776168859478), ('dison', 0.13573225611575115), ('marborngin', -0.13510458703669362)]}
729;Ido toho, ibana manjaga kode;neutral;[0.032271713714935445, 0.9611449108078212, 0.006583375477243392];neutral;{'negative': [('kode', -0.06031844618161537), ('ibana', -0.05050107871342319), ('Ido', -0.020137073706980285), ('toho', -0.0054443265996810975), ('manjaga', -0.002882724686182997)], 'neutral': [('kode', 0.07411590278881743), ('ibana', 0.054261210511885066), ('Ido', 0.023477036960282215), ('toho', 0.00555054097278888), ('manjaga', 0.003268249578202563)], 'positive': [('kode', -0.013797456607202096), ('ibana', -0.0037601317984617137), ('Ido', -0.003339963253301913), ('manjaga', -0.00038552489201952394), ('toho', -0.00010621437310778052)]}
373;Kangkung nai boi ma alai gurampang saus padang nai somardae pajuthon roha, dilehon di dihami gurampang na so marisi gabe ndang hupangan hami jala laos dipaulak.;negative;[0.7934305972324668, 0.14358737862244325, 0.0629820241450898];negative;{'negative': [('ndang', 0.1743682527315835), ('so', 0.14716419069084666), ('nai', -0.11234939003827027), ('di', -0.08100088712477022), ('roha', 0.07863898395377289), ('pajuthon', 0.0707364633823198)], 'neutral': [('ndang', -0.10721509878874505), ('so', -0.07851157517686866), ('roha', -0.07649299499902495), ('jala', -0.06854344088885518), ('di', 0.06269782243992277), ('nai', 0.042408053473078224)], 'positive': [('nai', 0.07390050271762783), ('so', -0.06306633233634712), ('ndang', -0.06165609196632835), ('jala', 0.03198272226302952), ('gabe', -0.030288567291713288), ('pajuthon', -0.025795278492175232)]}
262;Maringanan di braga cty walk na sada godung dohot aston dohot fave hotel, inganan on mansai menak lao kongkow-kongkow. Kopi di cappur tes nabaru parjolo hali hu atimi hape tabo hian, di gaor dohot tolor satonga masak gabe di dongani manghatai raphon dongan-dongan. Inganan na boe marisap gabe patabohon huhut mangatimi panatapan mardalani akka jolma na kaluar masuk mal on.;positive;[0.1052616210964873, 0.01319884005678966, 0.8815395388467229];positive;{'negative': [('dohot', -0.23379754377408837), ('di', -0.1640639476356572), ('on', 0.09581085450566929), ('gabe', 0.08809626848497681), ('tabo', -0.08672081377044642), ('Kopi', -0.0658426685499369)], 'neutral': [('dohot', -0.06874266426235952), ('tabo', -0.05499042605375318), ('hian', -0.04762589285787919), ('na', -0.047023486246401076), ('mansai', -0.03937595008473265), ('di', 0.0364090097536165)], 'positive': [('dohot', 0.2975359647882962), ('tabo', 0.13377576618751863), ('di', 0.12046321824178698), ('gabe', -0.09671977450156503), ('Kopi', 0.08706243729830594), ('inganan', 0.08478592433270059)]}
177;Gianyar manjalo bantuan sosial (pangurupion) taon 2018 godang na rp. 44,9 Miliar;neutral;[0.2534529047226452, 0.6463065677081392, 0.10024052756921564];neutral;{'negative': [('manjalo', 0.10717393027513725), ('godang', -0.05662915066675058), ('rp', -0.05489907511506406), ('na', 0.04318087184834658), ('2018', -0.03170590830963114), ('Miliar', -0.03099628860243727)], 'neutral': [('manjalo', -0.10129027570443017), ('na', -0.08739205769866824), ('2018', 0.07734912059231555), ('Miliar', 0.06731312766458383), ('godang', 0.047455639320652956), ('taon', 0.015090149826084174)], 'positive': [('rp', 0.06295118195606911), ('2018', -0.046426900983293384), ('na', 0.04338943870931417), ('Miliar', -0.03810150476265391), ('sosial', -0.017926424071334945), ('godang', 0.008327474115143271)]}
560;On ma sada tudosan lenting naso tarpakke. Dang na marguna tu bangso alai gabe sada biar-biar lao tu bangso! Tuanima tangkup ma dohot uu ite;negative;[0.6318053977665274, 0.1916178470693547, 0.17657675516411808];negative;{'negative': [('Dang', 0.2862726610174669), ('sada', -0.1851463597760618), ('On', 0.1783196843915247), ('tu', -0.1664648895969993), ('naso', 0.14608002161097386), ('dohot', -0.08893983478029233)], 'neutral': [('sada', 0.20775617076908712), ('Dang', -0.20599671716651952), ('On', -0.14339051776907194), ('naso', -0.0894126035217681), ('lao', 0.0730753533980892), ('ma', -0.07283796057612453)], 'positive': [('dohot', 0.12000664070379566), ('tu', 0.11363584826066994), ('ma', 0.10001434947679227), ('gabe', -0.08799223179917147), ('Dang', -0.08281484637385396), ('lao', -0.0708951968349063)]}
834;Sore ale-ale, saonari on tagan diulahon pangaradotion gabe aplikasi dang boe di bukka.;neutral;[0.584808689870418, 0.379178684848773, 0.0360126252808089];negative;{'negative': [('dang', 0.2844921571204894), ('ale', -0.2470913328262375), ('on', 0.19359201450000174), ('di', -0.13225348064658302), ('saonari', 0.06418171448752437), ('gabe', 0.048092815076414726)], 'neutral': [('dang', -0.2760179639687982), ('ale', 0.24539930697876583), ('on', -0.1924521233754129), ('di', 0.11487507042457895), ('saonari', -0.06369124058294054), ('tagan', 0.04293653711845434)], 'positive': [('aplikasi', 0.02595913108726498), ('gabe', -0.01920051738884722), ('dang', -0.016314575728623458), ('tagan', -0.01321919058162459), ('boe', 0.011845538209336188), ('di', 0.009654618167010869)]}
619;Memang gale do hita au pe parbiar do satutuna.;negative;[0.6493184604937349, 0.19330246343982876, 0.15737907606643622];negative;{'negative': [('hita', -0.18213862648669518), ('Memang', 0.16086232679649687), ('au', 0.14531632385069584), ('do', 0.06736312567863334), ('parbiar', 0.04796954886687558), ('pe', 0.005654511576045918)], 'neutral': [('pe', -0.16056992177210133), ('au', -0.10012023975092295), ('hita', 0.07850806832082347), ('Memang', -0.05787059422544347), ('parbiar', 0.02705835855709184), ('do', -0.012502929257303171)], 'positive': [('pe', 0.15491541019605565), ('hita', 0.1036305581658716), ('Memang', -0.10299173257105358), ('parbiar', -0.07502790742396745), ('do', -0.0548601964213304), ('au', -0.04519608409977295)]}
874;Parpudi tu hanamasa argana 120 ribu/jolma. Alai sabasna lobi sian i. Boe buaton sipanganon sapuasna, alai daina dang mengecewahon, malo-malo ta ma mangaracik sandiri. Molo hasolomanna jagal lombu ikkon lomo rohana tuson .;positive;[0.29531627236755065, 0.21321283852726974, 0.4914708891051796];positive;{'negative': [('dang', 0.1662956867328109), ('malo', -0.1101843950879652), ('jolma', 0.10775724983719556), ('tuson', -0.09553859066506033), ('lomo', -0.08488735799733672), ('tu', -0.06847579601059792)], 'neutral': [('malo', 0.17563771473582654), ('dang', -0.1440252270331012), ('jolma', -0.13567415489805995), ('120', 0.09570956111601324), ('daina', -0.09471596190171389), ('sipanganon', -0.0795129688034178)], 'positive': [('tuson', 0.149900907925408), ('daina', 0.1158677034506148), ('sipanganon', 0.11227622988532647), ('jagal', 0.09981712254216336), ('Parpudi', -0.09665158363221212), ('malo', -0.07764484371659171)]}
336;Laho tu the peak tung mansai dao sian kota bandung, tarsongon na maol do lao tusi jala dalan tusi geleng jala margellok-gelok. Alai ho dang na lilu molo lao tusi alana tiap tekongan adong do signage molo laho tu the peak. Tung mansai uli do inganan i di angka na mangalului inganan na pasonanghon roha lumobi molo borngin tung man sai uli kota i.;positive;[0.41220625666673244, 0.020409449108244365, 0.5673842942250232];positive;{'negative': [('tusi', 0.21092672029473145), ('kota', -0.14869858660558072), ('maol', 0.14386603413341), ('inganan', -0.12006285407817259), ('mansai', -0.11070155780068516), ('tu', -0.09687068041320034)], 'neutral': [('mansai', -0.04387866254171685), ('na', -0.037786056303456134), ('inganan', -0.03707419755127987), ('dang', -0.03221762060394212), ('jala', -0.03184262590525228), ('molo', -0.028392942147527637)], 'positive': [('tusi', -0.20411848387284565), ('inganan', 0.16883345197453428), ('mansai', 0.16605631561465803), ('kota', 0.14938168454645379), ('maol', -0.11482359290009579), ('uli', 0.1141481679110089)]}
